trace_involved_amt,contract_block_involved,contract_tx_count,contract_main_active_days,sender_block_involved,sender_tx_count,sender_main_active_days,contract_interact,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,is_sus,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_block_per_tx,contract_block_per_tx,sender_call_contract_day_ratio
5,1,1,1,2,2,1,1,1,1,46,1,0,0,1,0,4,9,11.0,12.0,3,4,423932,25953071246,7718821,332490,0.0,1,0.48810114064538,-0.1258450255448046,-0.1425601930014218,-2.0969001838160954,-0.148029332620977,-0.1426389093207983,-0.6484386975698436,-1.3533867027625055,-0.7274292894723833,-0.7125055944266869,2.2081145178943222,-0.1395142801231997,-2.4003501747604914,-2.3953974618702816,-0.1432899848153022,-0.9022550527436828,-0.917096950645579,0.5928467823664721,1.1724730925424027,4.136371714086599,3.958114029012639,0.6207008219385828,-0.5287349360659779,-0.9820407689905828,-0.1321017407336468,-0.3642296988720116,-0.1101157,-0.1424451549981128,1,0.10869565217391304,1.0,1.0,1.0,1.0,2.0,0.4,0.5,1.0,1.0,1.0,1.0,1.0
3,439420,3023301,80,821,832,223,1,5,4,14,626242,79,508632,179,552,3562686,8,5.0,6.0,3,3,213372,29452149066,19191362,167560,0.0,805,0.1318229357947377,2.385745592778544,5.931136783809701,-0.8214527360067981,-0.1434223410647485,-0.1416578546358884,0.6591586397042529,-1.3533867027625055,0.5600561786203306,0.9705784868961956,0.1486664102691893,4.886548797579696,-1.3650386230784712,-1.3570320360877228,-0.1428623974328042,0.4531532725101284,0.4803476643586968,0.1296852336426658,-0.0792775400651446,1.053361740854351,3.958114029012639,-0.5504328043606305,-0.7954442425297051,-0.8728963476918751,1.4986305583461574,-0.7030787167086828,-0.1101157,-0.1414173052731016,0,0.21428571428571427,1.0,4.827688018369895,0.8639234969024817,0.40325497287522605,4.648044692737431,0.00023044404406000302,0.006009615384615385,1.6538214355765437e-06,1.25,0.9867788461538461,0.14534444304420896,0.05
7,1707727,4017539,502,63,64,28,1,2,1,74,1091110,501,3233612,26,290,1863944,21,9.0,12.0,1,2,909531,38094285742,8837510,592073,0.0,46,0.8443793454960223,9.635017841711411,7.928523855827277,5.991696921911221,-0.1476861989397439,-0.1425656257178292,-0.4894065889824535,-1.3533867027625055,-0.4055579224492048,-0.7125055944266869,4.0101316120663135,8.617470105519594,4.165359792235612,4.205978191245511,-0.1432299304076481,-0.1901745920125139,-0.1859755887920456,6.150785367052149,0.7552228816732203,4.136371714086599,-0.2526455763199559,-1.7215664306598435,0.0863570686332979,-0.6033278914274879,0.0269111828135679,0.1690840984789652,-0.1101157,-0.1423876260955935,0,0.0945945945945946,1.0,3.6820659695172804,0.5281173102656378,0.09621993127147767,2.4615384615384617,3.3799280558170974e-05,0.03125,4.978171960496215e-07,2.0,0.984375,0.4250679333791159,0.00199203187250996
1,620,629,143,1208352,5149006,298,1,1,1,2,240,205,1315467,2954768,296,1902026,3,2.0,1.0,1,1,90000,112016606043,3083817,28250,1e+17,4685400,-0.2244552690559046,-0.1223070023989184,-0.1412985644162873,0.19567624136011,6.649111384068538,5.9434508458837385,1.1009144968914475,-1.3533867027625055,-0.7274292894723833,-0.7125055944266869,-0.6236266300902356,-0.1375961222964669,0.2862177758067762,0.2901108261609577,6.954581292833765,-0.1754418928249724,-0.1710381102776587,-2.1861225099763657,-0.7051528563689183,-1.5158132368391883,-0.2526455763199559,-2.8927000569590566,-0.9517154267861784,1.7024821777839352,-0.7909314393299813,-0.989291392842962,0.8909362,5.8474628968900335,0,0.5,0.6941747572815534,2.620833333333333,0.0004713151517178677,1.0033670033670035,1.7426092336183416,0.6352969752795308,1.942122421298402e-07,0.001589825119236884,1.0,0.23467675120207668,0.985691573926868,0.006993006993006993
1,621,630,143,6,8,3,2,3,2,4,240,205,1315472,3,133,852372,4,3.0,2.0,1,2,112846,113300000000,1575004,69749,0.0,6,-0.2244552690559046,-0.1223012866910898,-0.1412965554535721,0.19567624136011,-0.1480068320517158,-0.1426318173592207,-0.6366585413781851,-1.3138832963771436,-0.0836865554260263,-0.1514775673190594,-0.4949111233636647,-0.1375961222964669,0.2862177758067762,0.2901210335940899,-0.1432851804626899,-0.5756802207531813,-0.5827597654570147,-1.7229609612525594,-0.4965277509343271,-1.0019782413004803,-0.2526455763199559,-1.7215664306598435,-0.9227771630348944,1.7425142370694937,-1.0053974492898932,-0.9040316135959844,-0.1101157,-0.1424387628978329,0,0.25,0.6941747572815534,2.625,0.0004720735431285933,0.022388059701492536,2.6666666666666665,7.0391718179717094e-06,0.375,0.004761904761904762,1.5,0.75,0.9857142857142858,0.013986013986013986
1,622,631,143,1330040,6820551,298,3,1,1,2,241,205,1315480,2992461,296,1903555,3,2.0,1.0,1,1,90000,114841716295,2176795,28250,1e+18,6361930,-0.2244552690559046,-0.1222955709832613,-0.1412945464908569,0.19567624136011,7.333623702132439,7.919206331772536,1.1009144968914475,-1.2743798899917815,-0.7274292894723833,-0.7125055944266869,-0.6236266300902356,-0.1375880965315015,0.2862177758067762,0.2901373654871014,7.045126524342181,-0.1754418928249724,-0.1704383674950187,-2.1861225099763657,-0.7051528563689183,-1.5158132368391883,-0.2526455763199559,-2.8927000569590566,-0.9517154267861784,1.790603974274756,-0.9198575483215258,-0.989291392842962,9.900403,7.990772473349164,0,0.5,0.6941747572815534,2.6182572614107884,0.0004728308504645829,1.0033670033670035,2.279244742036738,0.6987133554253198,1.4661572063606005e-07,0.001584786053882726,1.0,0.1950047730747853,0.9857369255150554,0.006993006993006993
1,623,632,143,17,18,7,4,1,1,9,242,205,1315534,9,100,642779,8,6.0,3.0,1,4,408211,108767345456,1339128,248476,0.0,13,-0.2244552690559046,-0.1222898552754327,-0.1412925375281417,0.19567624136011,-0.1479449554862476,-0.1426199974232579,-0.6130982289948681,-1.2348764836064194,-0.7274292894723833,-0.7125055944266869,-0.1731223565472377,-0.1375800707665361,0.2862177758067762,0.2902476057649295,-0.1432707674048529,-0.6567100662846591,-0.6649715960926401,0.1296852336426658,0.1293475653694465,-0.4881432457617726,-0.2526455763199559,0.6207008219385828,-0.5486482007264845,1.6011301402871485,-1.038925384537869,-0.5368366314163037,-0.1101157,-0.142429813957441,0,0.1111111111111111,0.6941747572815534,2.6115702479338845,0.0004735715887452633,0.06930693069306931,2.0,2.644761815862348e-05,0.05555555555555555,0.0015822784810126582,1.0,0.9444444444444444,0.9857594936708861,0.006993006993006993
1,624,633,143,925,959,125,5,3,1,12,242,205,1315673,142,410,2643067,10,6.0,6.0,1,4,1309113,113266832568,17458512,837941,0.0,927,-0.2244552690559046,-0.1222841395676041,-0.1412905285654265,0.19567624136011,-0.1428373262639576,-0.1415077414491612,0.081930986312985,-1.1953730772210571,-0.0836865554260263,-0.7125055944266869,0.0199509035426185,-0.1375800707665361,0.2862177758067762,0.2905313724060056,-0.1429512779561325,0.1044793917383146,0.1196316028618758,1.0560083310902786,0.1293475653694465,1.053361740854351,-0.2526455763199559,0.6207008219385828,0.5924942176425546,1.741479667289161,1.2523194347284308,0.6742204006524125,-0.1101157,-0.1412613380262715,0,0.08333333333333333,0.6941747572815534,2.615702479338843,0.00047428162295523054,0.30413625304136255,6.753521126760563,0.0003499720779034062,0.0031282586027111575,0.004739336492890996,3.0,0.9645464025026069,0.985781990521327,0.006993006993006993
1,625,634,143,1241,1263,187,6,1,1,9,243,205,1316151,222,373,2402247,8,6.0,3.0,1,4,408211,65016694688,5503383,248476,0.0,1247,-0.2244552690559046,-0.1222784238597756,-0.1412885196027113,0.19567624136011,-0.1410597812923236,-0.1411484153958931,0.4471158282543994,-1.1558696708356953,-0.7274292894723833,-0.7125055944266869,-0.1731223565472377,-0.1375720450015707,0.2862177758067762,0.2915072030134468,-0.142759103851639,0.0136277467484758,0.0251711339832811,0.1296852336426658,0.1293475653694465,-0.4881432457617726,-0.2526455763199559,0.6207008219385828,-0.5486482007264845,0.2364450131883689,-0.4470089878037391,-0.5368366314163037,-0.1101157,-0.1408522436083566,0,0.1111111111111111,0.6941747572815534,2.6090534979423867,0.0004748691640479215,0.5,5.6891891891891895,0.0005165994518467701,0.000791765637371338,0.0015772870662460567,1.0,0.9825811559778306,0.9858044164037855,0.006993006993006993
1,626,635,144,4989,5417,900,7,1,1,9,244,206,1316268,1262,1694,10275162,8,6.0,3.0,1,4,408229,73444151938,23597142,248488,0.0,4858,-0.2244552690559046,-0.122272708151947,-0.1412865106399962,0.2118211457627593,-0.1199767478945893,-0.1362384139969585,4.646741510580664,-1.1163662644503332,-0.7274292894723833,-0.7125055944266869,-0.1731223565472377,-0.1375640192366053,0.2993229853217385,0.291746056948741,-0.1402608404932236,3.25727701787218,3.1132835928377025,0.1296852336426658,0.1293475653694465,-0.4881432457617726,-0.2526455763199559,0.6207008219385828,-0.5486254007287814,0.4993171160359839,2.1248778516563163,-0.5368119773920871,-0.1101157,-0.1362358687861977,0,0.1111111111111111,0.6956521739130435,2.6024590163934427,0.00047558667719136436,0.5309734513274337,4.292393026941363,0.0004855397427758567,0.00018460402436773122,0.0015748031496062992,1.0,0.920989477570611,0.9858267716535433,0.006944444444444444
