transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,lb_block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
0x86b43f0ec7f8893b7cedfdc98ecfa64e47d20d6d4ceac26c22263aa4c23a19a0,5,0x14c19962e4a899f29b3dd9ff52ebfb5e4cb9a067,0x6cfa86a352339e766ff1ca119c8c40824f41f22d,2022-11-10 19:32:47.000000 UTC,420744,23167610784,3799380,383622,0.0,12,2,1,2021-11-10T00:00:00,9,9,1.0,1,14,14,1.0,1,6,0x86b43f0ec7f8893b7cedfdc98ecfa64e47d20d6d4ceac26c22263aa4c23a19a0,9,1,94,1,0,77,3,0,81,14,11,7,2,1,0.0920220209947595,-0.5151867073880754,-0.5151867073880754,-0.7987443689227,-1.1112810679637346,-1.078645196671271,-1.1147454231304637,-0.2172791350515945,0.0197621769231617,-0.5188617301169163,0.1438603420788525,-0.7613659825782316,-1.0316749898802478,-1.0254975614872572,-0.9673417396914256,-1.4376831488077246,-1.4554887523263451,0.6544441860863724,0.0731347858959453,1.545162998411589,1.7688683343132057,-1.6218247992999475,0.0358685428671447,-0.2268224340208387,-0.8099492568751595,0.0868089972089837,0.0,-1.1145044029720168,0.0531914893617021,1.0,9.0,0.1153846153846153,1.0,4.666666666666667,0.1707317073170731,0.6428571428571429,1.0,9.0,1.0,1
0x52c53c5a2ae3082b8765dd5924d6ad0dc704223f6d0c98325a1b9ccd9d134ef7,5,0x14c19962e4a899f29b3dd9ff52ebfb5e4cb9a067,0x6cfa86a352339e766ff1ca119c8c40824f41f22d,2022-11-10 19:32:11.000000 UTC,412332,23834038926,5304540,375210,0.0,11,2,2,2021-11-10T00:00:00,8,8,1.0,1,13,13,1.0,1,5,0x52c53c5a2ae3082b8765dd5924d6ad0dc704223f6d0c98325a1b9ccd9d134ef7,8,1,94,1,0,74,3,0,78,14,11,7,2,1,0.0920220209947595,-0.5284522827187608,-0.5284522827187608,-0.7987443689227,-1.1139589709929143,-1.0811217354238034,-1.1147454231304637,-0.4515997708915493,-0.0526991384617645,-0.5188617301169163,0.1438603420788525,-0.7613659825782316,-1.0316749898802478,-1.0255543808122858,-0.9673417396914256,-1.4376831488077246,-1.455492418211267,0.6544441860863724,0.0731347858959453,1.545162998411589,1.7688683343132057,-1.6218247992999475,0.0153752193765946,-0.2005781679799823,-0.5531390452141992,0.0655532400943455,0.0,-1.1170637007952169,0.0531914893617021,1.0,8.0,0.1066666666666666,1.0,4.333333333333333,0.1645569620253164,0.6153846153846154,1.0,8.0,1.0,1
0x0249d39723c2a69308ce43b11f37a2687b79d4077a7defcc34dc56f71fb4abb9,5,0x14c19962e4a899f29b3dd9ff52ebfb5e4cb9a067,0x6cfa86a352339e766ff1ca119c8c40824f41f22d,2022-11-10 19:31:47.000000 UTC,412332,24460135579,6148290,375210,0.0,10,2,3,2021-11-10T00:00:00,7,7,1.0,1,12,12,1.0,1,4,0x0249d39723c2a69308ce43b11f37a2687b79d4077a7defcc34dc56f71fb4abb9,7,1,94,1,0,72,3,0,76,14,11,7,2,1,0.0920220209947595,-0.5417178580494463,-0.5417178580494463,-0.7987443689227,-1.1166368740220949,-1.083598274176336,-1.1147454231304637,-0.6859204067315041,-0.1251604538466907,-0.5188617301169163,0.1438603420788525,-0.7613659825782316,-1.0316749898802478,-1.0255922603623049,-0.9673417396914256,-1.4376831488077246,-1.4554948621345485,0.6544441860863724,0.0731347858959453,1.545162998411589,1.7688683343132057,-1.6218247992999475,0.0153752193765946,-0.1759221756935374,-0.409178525343265,0.0655532400943455,0.0,-1.1196229986184167,0.0531914893617021,1.0,7.0,0.0958904109589041,1.0,4.0,0.1558441558441558,0.5833333333333334,1.0,7.0,1.0,1
0xc5a8f6d30b22d46f3e5f13e67b5044547f1c11e04a029bbd6baba4ced6bcc9ec,5,0x14c19962e4a899f29b3dd9ff52ebfb5e4cb9a067,0x6cfa86a352339e766ff1ca119c8c40824f41f22d,2022-11-10 19:29:23.000000 UTC,412332,22738301103,8999252,375210,0.0,9,2,4,2021-11-10T00:00:00,6,6,1.0,1,11,11,1.0,1,3,0xc5a8f6d30b22d46f3e5f13e67b5044547f1c11e04a029bbd6baba4ced6bcc9ec,6,1,94,1,0,60,3,0,64,14,11,7,2,1,0.0920220209947595,-0.5549834333801317,-0.5549834333801317,-0.7987443689227,-1.1193147770512746,-1.0860748129288686,-1.1147454231304637,-0.9202410425714588,-0.197621769231617,-0.5188617301169163,0.1438603420788525,-0.7613659825782316,-1.0316749898802478,-1.0258195376624195,-0.9673417396914256,-1.4376831488077246,-1.4555095256742347,0.6544441860863724,0.0731347858959453,1.545162998411589,1.7688683343132057,-1.6218247992999475,0.0153752193765946,-0.2437288591430827,0.0772522558742497,0.0655532400943455,0.0,-1.1221822964416166,0.0531914893617021,1.0,6.0,0.0983606557377049,1.0,3.6666666666666665,0.1692307692307692,0.5454545454545454,1.0,6.0,1.0,1
0x6bfd9e286e37061ed279e4f139fbc03c8bd707a2cdd15f7260549052cbba79b7,5,0x14c19962e4a899f29b3dd9ff52ebfb5e4cb9a067,0x6cfa86a352339e766ff1ca119c8c40824f41f22d,2022-11-10 19:27:59.000000 UTC,412332,24767197621,6529254,375210,0.0,8,2,5,2021-11-10T00:00:00,5,5,1.0,1,10,10,1.0,1,2,0x6bfd9e286e37061ed279e4f139fbc03c8bd707a2cdd15f7260549052cbba79b7,5,1,94,1,0,53,3,0,57,14,11,7,2,1,0.0920220209947595,-0.5682490087108172,-0.5682490087108172,-0.7987443689227,-1.1219926800804547,-1.0885513516814014,-1.1147454231304637,-1.1545616784114137,-0.2700830846165433,-0.5188617301169163,0.1438603420788525,-0.7613659825782316,-1.0316749898802478,-1.0259521160874865,-0.9673417396914256,-1.4376831488077246,-1.4555180794057188,0.6544441860863724,0.0731347858959453,1.545162998411589,1.7688683343132057,-1.6218247992999475,0.0153752193765946,-0.1638299223605492,-0.3441784951303933,0.0655532400943455,0.0,-1.1247415942648165,0.0531914893617021,1.0,5.0,0.0925925925925925,1.0,3.333333333333333,0.1724137931034483,0.5,1.0,5.0,1.0,1
0x390def749b71f516d8bf4329a4cb07bb3568a3627c25e607556621182a17f1f9,5,0x14c19962e4a899f29b3dd9ff52ebfb5e4cb9a067,0x6cfa86a352339e766ff1ca119c8c40824f41f22d,2022-11-10 19:21:59.000000 UTC,689710,25142654613,9210346,640467,0.0,2,2,6,2021-11-10T00:00:00,2,2,1.0,1,4,4,1.0,1,1,0x390def749b71f516d8bf4329a4cb07bb3568a3627c25e607556621182a17f1f9,2,1,138,1,0,23,1,0,27,17,11,11,4,5,0.0920220209947595,-0.6080457347028736,-0.6080457347028736,-0.7987443689227,-1.138060098255535,-1.103410584196597,-1.1147454231304637,-1.3888823142513684,-0.4874670307713221,-0.5188617301169163,0.4516782269867422,-0.7613659825782316,-1.0316749898802478,-1.0265203093377726,-0.999295971332884,-1.4376831488077246,-1.4555547382549354,1.301050717249555,0.0731347858959453,3.696655781010004,5.908772946535602,0.890861509474619,0.6911238027291619,-0.1490442424590727,0.1132690878524838,0.735814576870092,0.0,-1.1400973812040158,0.036231884057971,1.0,2.0,0.0833333333333333,1.0,4.0,0.1428571428571428,0.5,1.0,2.0,1.0,1
0x471f37f07beb1e36ede6a2e53984550782836e4867a92abd7f5c5eeefc1e9d8b,1,0x55639dac6e3d86d3d291716c63efcd9b209b9a3c,0xa06943f16e0bcd73025807428c0ab1088575f1b7,2022-11-09 23:26:11.000000 UTC,332600,84174517784,9360833,266080,0.0,164,2,7,2021-11-09T00:00:00,245,245,1.0,24,173,173,1.0,22,15,0x471f37f07beb1e36ede6a2e53984550782836e4867a92abd7f5c5eeefc1e9d8b,51,15,36,56,23,170621,13,36,259397,15,6,5,1,4,-0.3680880839790382,2.6154890706536933,2.6154890706536933,2.339179937559336,-0.685494486324107,-0.6848755350185776,-0.7941450835598247,1.8916065875079984,3.063137423090065,2.530936225532133,-0.2618995971179111,2.285105045595248,2.128298042077412,2.2045674277405443,-0.8075705814841331,-1.158274762997036,-1.1386145475439695,0.8699796964740998,-0.2411162472506948,0.4694166071123816,-0.3010839717979925,0.2626899322809773,-0.1788679651869499,2.175659389199926,0.1389451610421931,-0.2102005371192141,0.0,-0.7254911338456312,0.0277777777777777,1.0,4.375,0.0014359226828896,0.5945945945945946,13.307692307692308,0.0006669288120956,0.2947976878612717,0.2081632653061224,3.4,0.625,0
0x67e002d106f90da797cff60eae5ba2bf3a6459873535a990d146748d9f70045b,1,0x55639dac6e3d86d3d291716c63efcd9b209b9a3c,0xa06943f16e0bcd73025807428c0ab1088575f1b7,2022-11-09 23:13:11.000000 UTC,332612,121335933172,12680093,266090,0.0,162,2,8,2021-11-09T00:00:00,244,244,1.0,24,170,170,1.0,22,14,0x67e002d106f90da797cff60eae5ba2bf3a6459873535a990d146748d9f70045b,50,15,36,56,23,170556,13,36,259332,15,6,5,1,4,-0.3680880839790382,2.602223495323008,2.602223495323008,2.339179937559336,-0.6935281954116471,-0.6923051512761756,-0.7941450835598247,1.6572859516680438,2.990676107705139,2.530936225532133,-0.2618995971179111,2.285105045595248,2.128298042077412,2.203336342364924,-0.8075705814841331,-1.158274762997036,-1.138693975050606,0.8699796964740998,-0.2411162472506948,0.4694166071123816,-0.3010839717979925,0.2626899322809773,-0.178838730773982,3.639094094959168,0.7052768886709895,-0.2101752687441372,0.0,-0.7306097294920311,0.0277777777777777,1.0,4.357142857142857,0.0014306067766201,0.5945945945945946,13.076923076923077,0.0006555278348686,0.2941176470588235,0.2049180327868852,3.333333333333333,0.625,0
0xa348118a1f10b102e51aa9f7d2a31e6896ae94ae70ac0e656b87e9c3c17defaf,1,0x55639dac6e3d86d3d291716c63efcd9b209b9a3c,0xa06943f16e0bcd73025807428c0ab1088575f1b7,2022-11-09 16:04:35.000000 UTC,332612,91867667442,14863063,266090,0.0,146,2,9,2021-11-09T00:00:00,232,232,1.0,24,153,153,1.0,22,13,0xa348118a1f10b102e51aa9f7d2a31e6896ae94ae70ac0e656b87e9c3c17defaf,42,15,36,56,23,168431,13,36,257207,15,6,5,1,4,-0.3680880839790382,2.4430365913547822,2.4430365913547822,2.339179937559336,-0.7390525469077079,-0.7344063100692308,-0.7941450835598247,1.422965315828089,2.410985584625729,2.530936225532133,-0.2618995971179111,2.285105045595248,2.128298042077412,2.163089320469641,-0.8075705814841331,-1.158274762997036,-1.141290643536787,0.8699796964740998,-0.2411162472506948,0.4694166071123816,-0.3010839717979925,0.2626899322809773,-0.178838730773982,2.478619383822536,1.0777349580785784,-0.2101752687441372,0.0,-0.7715584946632296,0.0277777777777777,1.0,4.142857142857143,0.0013774104683195,0.5945945945945946,11.76923076923077,0.0005948493048427,0.2745098039215686,0.1810344827586207,2.8,0.625,0
0x824f26233be8a81f657a02084843a572cc974145c47a59bd6324c1e64843b3d1,1,0x55639dac6e3d86d3d291716c63efcd9b209b9a3c,0xa06943f16e0bcd73025807428c0ab1088575f1b7,2022-11-09 10:38:59.000000 UTC,332612,104257931296,12339358,266090,0.0,144,2,10,2021-11-09T00:00:00,226,226,1.0,24,151,151,1.0,22,12,0x824f26233be8a81f657a02084843a572cc974145c47a59bd6324c1e64843b3d1,41,15,36,55,23,166820,13,36,255596,15,6,5,1,4,-0.3680880839790382,2.3634431393706694,2.3634431393706694,2.339179937559336,-0.7444083529660681,-0.7393593875742962,-0.7941450835598247,1.1886446799881345,2.3385242692408026,2.530936225532133,-0.2618995971179111,2.229714663264821,2.128298042077412,2.1325773429292645,-0.8075705814841331,-1.158274762997036,-1.1432592237397226,0.8699796964740998,-0.2411162472506948,0.4694166071123816,-0.3010839717979925,0.2626899322809773,-0.178838730773982,2.966554031847624,0.6471407254256885,-0.2101752687441372,0.0,-0.7766770903096294,0.0277777777777777,1.0,4.109090909090909,0.0013547455056617,0.5945945945945946,11.615384615384617,0.0005907737571254,0.271523178807947,0.1814159292035398,2.7333333333333334,0.625,0
