index,transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
29,0x218f796d7271acfc0c9107631b942868a6d664d1e765e63434d3168ca950eb09,1,0x79a94077ac9ff31a9e728a25bf9a549affea1632,0x3561081260186e69369e6c32f280836554292e08,2022-10-07 08:51:47+00:00,39,41,0.951219512195122,4,272,275,0.9890909090909092,118,1,0x218f796d7271acfc0c9107631b942868a6d664d1e765e63434d3168ca950eb09,1,1,5,17,5,33586,98,732,4702589,4,3.0,2.0,1,1,91696,5427218434,12992128,86479,0.0,235,2,-0.3023715784073818,-1.0719604834395666,-1.0526964548087665,-1.442953534940487,-0.3752278701673046,-0.3794649855067424,0.137136286739946,-0.275693656289442,-0.7137755528773818,-0.7922712404711927,-0.1584670405783986,-1.3570717418053266,-1.4687559594024318,-1.5243442757742167,-0.3156660978639971,0.7098945124620456,0.7425462617949694,0.0918845837747534,-0.2641538458317077,0.236842105263158,-0.1428571428571429,-0.2853505500025687,-0.1997678142318408,-1.4436335457317866,0.3247125206986838,-0.2356043942049473,0.0,-0.4103203432680262,0.2,0.6666666666666666,2.411764705882353,0.0011611635454193,0.1609822646657571,2.806122448979592,5.784046663647054e-05,0.0036363636363636,0.024390243902439,1.0,0.25,0
35,0x99e9f121268c345fe86820ae3cbdcd06874f722a5d0f3bd8c1c42dccdc228838,1,0x79a94077ac9ff31a9e728a25bf9a549affea1632,0x3561081260186e69369e6c32f280836554292e08,2022-10-07 08:54:11+00:00,40,42,0.9523809523809524,4,273,276,0.9891304347826086,118,2,0x99e9f121268c345fe86820ae3cbdcd06874f722a5d0f3bd8c1c42dccdc228838,2,1,1,17,5,33598,98,732,4702601,2,1.0,0.0,1,0,46279,6750104265,6217508,46279,0.0,236,2,-0.3023715784073818,-1.0438397991940376,-1.028249254279069,-1.442953534940487,-0.3739506291360319,-0.3782173200056352,0.137136286739946,-0.2035225420775462,-0.4513580702018738,-0.7922712404711927,-0.3079642486712275,-1.3570717418053266,-1.4687559594024318,-1.52405317047466,-0.3156660978639971,0.7098945124620456,0.7425506454420806,-1.4395251458044689,-0.6834456646121961,-1.0789473684210529,-0.1428571428571429,-1.177071018760596,-0.4871419278798595,-1.312006484211724,-0.6661032831696279,-0.5538246156934927,0.0,-0.4090540787844192,1.0,0.6666666666666666,2.4705882352941178,0.0011905116223697,0.1609822646657571,2.816326530612245,5.8052967272161245e-05,0.0072463768115942,0.0476190476190476,2.0,0.25,0
77,0x720151cac32bb5941138a421563810f0d695254df041f357f2fdba5e0ba7858d,1,0x4731223a7b5ac0c425f1f35d0bdf6d340a93a181,0x3561081260186e69369e6c32f280836554292e08,2022-10-07 21:49:23+00:00,41,43,0.9534883720930232,4,11,11,1.0,5,3,0x720151cac32bb5941138a421563810f0d695254df041f357f2fdba5e0ba7858d,3,2,5,17,5,37431,5,10,72475,4,3.0,2.0,1,1,67255,7828920392,28126427,66956,0.0,10,2,-0.3023715784073818,-1.0157191149485083,-1.003802053749372,-1.442953534940487,-0.708587779329489,-0.7088486777990419,-0.8338161193762138,-0.1313514278656503,-0.1889405875263658,0.278365570976365,-0.1584670405783986,-1.3570717418053266,-1.4687559594024318,-1.4310692860412566,-0.7441095757004204,-0.9360394567017212,-0.9488525599189496,0.0918845837747534,-0.2641538458317077,0.236842105263158,-0.1428571428571429,-0.2853505500025687,-0.354417190273218,-1.2046643437262352,2.538165471516351,-0.3901470157004914,0.0,-0.695229852079611,0.2,0.6666666666666666,2.5294117647058822,0.0010953195127163,0.4545454545454545,2.2,0.0001517743804845,0.2727272727272727,0.0697674418604651,1.5,0.5,0
105,0xacac0ac2ae63179b2a057f5b49a1b102c9bb6321abe06689607fd154f42a8928,1,0x988a502bc0375bb9e0923902b547c6ae2723fc05,0x3561081260186e69369e6c32f280836554292e08,2022-10-08 09:39:59+00:00,42,44,0.9545454545454546,5,1471,1511,0.9735274652547982,211,4,0xacac0ac2ae63179b2a057f5b49a1b102c9bb6321abe06689607fd154f42a8928,1,1,5,18,6,40970,348,426,2715969,4,3.0,2.0,1,1,91708,12046461838,12297313,91291,0.0,1397,2,-0.3023715784073818,-0.9875984307029796,-0.9793548532196746,-1.2495281281120034,1.1561841263287072,1.162649573861751,0.9362387094727148,-0.0591803136537545,-0.7137755528773818,-0.7922712404711927,-0.1584670405783986,-1.1696308934896738,-1.2963667622894703,-1.3452174814469924,0.836063681266173,0.0123103094646596,0.0168261764594235,0.0918845837747534,-0.2641538458317077,0.236842105263158,-0.1428571428571429,-0.2853505500025687,-0.1996918847480842,-0.7850192206422493,0.2230929932912778,-0.1975129587372139,0.0,1.061078986683358,0.2,0.7142857142857143,2.4444444444444446,0.0010251153254741,0.4941451990632318,4.341954022988506,0.0005416112843661,0.00066181336863,0.0227272727272727,1.0,0.2,0
64,0x4c65802374516e90f251a3c8157f05ea8cabb5d732a31ce331db5dc434cbcf2a,1,0x4c55c41bd839b3552fb2abecacfdf4a5d2879cb9,0x3561081260186e69369e6c32f280836554292e08,2022-10-10 10:44:23+00:00,43,45,0.9555555555555556,6,1316,1380,0.9536231884057972,365,5,0x4c65802374516e90f251a3c8157f05ea8cabb5d732a31ce331db5dc434cbcf2a,1,1,5,19,8,55622,448,1616,10138719,4,3.0,2.0,1,1,91696,37858051316,11232444,86479,0.0,1341,2,-0.3023715784073818,-0.9594777464574504,-0.9549076526899772,-1.05610272128352,0.9582117664814328,0.9992053932167084,2.2594835815248264,0.0129908005581412,-0.7137755528773818,-0.7922712404711927,-0.1584670405783986,-0.9821900451740208,-0.9515883680635472,-0.9897779106882584,1.296755592918241,2.725137765565605,2.7283858926731046,0.0918845837747534,-0.2641538458317077,0.236842105263158,-0.1428571428571429,-0.2853505500025687,-0.1997678142318408,1.7832323975514806,0.0673515591961632,-0.2356043942049473,0.0,0.9901681756013636,0.2,0.6666666666666666,2.3684210526315788,0.0007730615033349,0.2257266542980828,3.080357142857143,0.0001297994224122,0.0007246376811594,0.0222222222222222,1.0,0.1666666666666666,0
111,0x37570e1941b64897737cb0cf3129ae7aeb91a11a5bbc11046b4ed32eabcfdffd,1,0x4c55c41bd839b3552fb2abecacfdf4a5d2879cb9,0x3561081260186e69369e6c32f280836554292e08,2022-10-10 10:45:35+00:00,44,46,0.9565217391304348,6,1318,1382,0.9536903039073806,365,6,0x37570e1941b64897737cb0cf3129ae7aeb91a11a5bbc11046b4ed32eabcfdffd,2,1,1,19,8,55628,449,1616,10138725,2,1.0,0.0,1,0,46279,40000000000,10067238,46279,0.0,1343,2,-0.3023715784073818,-0.9313570622119216,-0.93046045216028,-1.05610272128352,0.9607662485439784,1.0017007242189229,2.2594835815248264,0.085161914770037,-0.4513580702018738,-0.7922712404711927,-0.3079642486712275,-0.9821900451740208,-0.9515883680635472,-0.9896323580384802,1.3013625120347618,2.725137765565605,2.72838808449666,-1.4395251458044689,-0.6834456646121961,-1.0789473684210529,-0.1428571428571429,-1.177071018760596,-0.4871419278798595,1.9963561642400705,-0.1030645703523841,-0.5538246156934927,0.0,0.9927007045685776,1.0,0.6666666666666666,2.421052631578948,0.0007909543583382,0.2257266542980828,3.0779510022271714,0.0001299966090414,0.0014471780028943,0.0434782608695652,2.0,0.1666666666666666,0
18,0x5463fe5e3345b9b3ca9f2d9fa2c019c0ad0798d6a06a55fa22e126b132154ddf,1,0xbd1ded3bcc8103028c8ebdc61990ca777709b10a,0x3561081260186e69369e6c32f280836554292e08,2022-10-10 22:30:47+00:00,45,47,0.9574468085106383,6,668,683,0.9780380673499268,221,7,0x5463fe5e3345b9b3ca9f2d9fa2c019c0ad0798d6a06a55fa22e126b132154ddf,1,1,5,20,8,59134,256,424,2710099,4,3.0,2.0,1,1,91696,29400362857,7963307,86479,0.0,635,2,-0.3023715784073818,-0.9032363779663924,-0.9060132516305828,-1.05610272128352,0.1305595782166992,0.1295825389449933,1.0221637011644102,0.1573330289819328,-0.7137755528773818,-0.7922712404711927,-0.1584670405783986,-0.7947491968583679,-0.9515883680635472,-0.9045810930179968,0.4122271225462704,0.0077509355888597,0.0146818424142011,0.0918845837747534,-0.2641538458317077,0.236842105263158,-0.1428571428571429,-0.2853505500025687,-0.1997678142318408,0.9416928988112324,-0.4107730595441707,-0.2356043942049473,0.0,0.096185450174791,0.2,0.6666666666666666,2.35,0.0007609706603534,0.52,2.66796875,0.0002464853695435,0.0014641288433382,0.0212765957446808,1.0,0.1666666666666666,0
6,0xce432fea99d7fe8bca76fdc26ecf7bcad443a30851a402ac5c09048f18b900ec,1,0xbd1ded3bcc8103028c8ebdc61990ca777709b10a,0x3561081260186e69369e6c32f280836554292e08,2022-10-10 22:31:11+00:00,46,48,0.9583333333333334,6,669,684,0.9780701754385964,221,8,0xce432fea99d7fe8bca76fdc26ecf7bcad443a30851a402ac5c09048f18b900ec,2,1,1,20,8,59136,256,424,2710101,2,1.0,0.0,1,0,46279,27018815762,23017418,46279,0.0,636,2,-0.3023715784073818,-0.8751156937208634,-0.8815660511008854,-1.05610272128352,0.1318368192479719,0.1308302044461005,1.0221637011644102,0.2295041431938286,-0.4513580702018738,-0.7922712404711927,-0.3079642486712275,-0.7947491968583679,-0.9515883680635472,-0.9045325754680708,0.4122271225462704,0.0077509355888597,0.014682573022053,-1.4395251458044689,-0.6834456646121961,-1.0789473684210529,-0.1428571428571429,-1.177071018760596,-0.4871419278798595,0.7047291044756867,1.790952069243539,-0.5538246156934927,0.0,0.0974517146583981,1.0,0.6666666666666666,2.4,0.0007778548117084,0.52,2.671875,0.0002468541774442,0.0029239766081871,0.0416666666666666,2.0,0.1666666666666666,0
53,0x329a11c08c91a1a09e768cd208f3c7677daea22b87526f788081ee0664cb50e3,1,0x24c6bbb049784095b398f54b963cc5c9189436e3,0x3561081260186e69369e6c32f280836554292e08,2022-10-14 07:24:35+00:00,47,49,0.9591836734693876,7,2032,2065,0.9840193704600484,185,9,0x329a11c08c91a1a09e768cd208f3c7677daea22b87526f788081ee0664cb50e3,2,2,1,20,12,83276,539,190,1207530,2,1.0,0.0,1,0,46279,13619041371,5777544,46279,0.0,2054,2,-0.3023715784073818,-0.8469950094753343,-0.857118850571188,-0.8626773144550365,1.8727163448727124,1.8538562614751373,0.7128337310743064,0.3016752574057244,-0.4513580702018738,0.278365570976365,-0.3079642486712275,-0.7947491968583679,-0.2620315796117013,-0.3189257478598375,1.715985232521623,-0.5256958078797294,-0.5342125122699085,-1.4395251458044689,-0.6834456646121961,-1.0789473684210529,-0.1428571428571429,-1.177071018760596,-0.4871419278798595,-0.6285476506210399,-0.7304498124706245,-0.5538246156934927,0.0,1.8930147524131853,1.0,0.5384615384615384,2.45,0.0005643815219088,0.9685863874345548,3.831168831168831,0.0016827725333759,0.0009685230024213,0.0408163265306122,1.0,0.2857142857142857,0
97,0xb191418f6cc169c9324867db92a8cf6baac1998c7fc1628fce2c0c1767330a94,1,0x24c6bbb049784095b398f54b963cc5c9189436e3,0x3561081260186e69369e6c32f280836554292e08,2022-10-14 07:27:59+00:00,48,50,0.96,7,2034,2067,0.9840348330914368,185,10,0xb191418f6cc169c9324867db92a8cf6baac1998c7fc1628fce2c0c1767330a94,3,2,5,20,12,83293,540,190,1207547,4,3.0,2.0,1,1,74608,12407842108,6095140,74191,0.0,2056,2,-0.3023715784073818,-0.8188743252298053,-0.8326716500414907,-0.8626773144550365,1.875270826935258,1.856351592477352,0.7128337310743064,0.3738463716176202,-0.1889405875263658,0.278365570976365,-0.1584670405783986,-0.7947491968583679,-0.2620315796117013,-0.3185133486854655,1.7205921516381435,-0.5256958078797294,-0.5342063021031677,0.0918845837747534,-0.2641538458317077,0.236842105263158,-0.1428571428571429,-0.2853505500025687,-0.3078913991013246,-0.7490619052664624,-0.6840001022218783,-0.3328752917584609,0.0,1.8955472813803995,0.2,0.5384615384615384,2.5,0.0005762720003841,0.9685863874345548,3.827777777777778,0.0016844050919714,0.0014513788098693,0.06,1.5,0.2857142857142857,0
