index,transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
623,0x5d5369170f33b50561e3337d5d672f5d41fc1cf793c834e985c85833270d6a12,18,0xd0340ecd70b8b977a23a01636776160d48aa9adb,0x0fc584529a2aefa997697fafacba5831fac0c22d,2022-07-08 05:29:52+00:00,13886,14325,0.9693542757417104,170,138,138,1.0,51,7,0x5d5369170f33b50561e3337d5d672f5d41fc1cf793c834e985c85833270d6a12,1,1,124,5184,169,1056854,29,213,1338521,20,13,9,2,6,731535,14919196526,28320676,545207,7.5915375e+17,127,2.0,1.133175198644087,-0.5889885297970116,-0.5969502141026177,-0.0209073470111278,-0.4551420660502208,-0.3472860548454014,-0.7128953903308197,-0.0645714351320391,-0.2373438147696422,-0.6034256441593043,0.0989619772072974,-0.5251374151293763,-0.1659389458652752,-0.1696809704222198,-0.4622359026539858,-0.3186451078537409,-0.3256508915444725,0.528165726094213,-0.2086391555651472,0.529989621386579,0.3312525805827163,0.6064784348631225,-0.2656976537931879,-0.3022695318314679,2.4199870168345434,-0.1145749362721108,-0.0,-0.3443080451300432,0.1451612903225806,1.0,2.763310185185185,0.0131389831149968,0.2383177570093458,4.758620689655173,0.0001030987910546,0.0072463768115942,6.980802792321117e-05,1.0,0.0058823529411764,0
87,0x32953465d1a4dc625c1b39e1d407a8905e4ccd9fa058e5d39ae71a99ecbdb6dd,2,0x33d5cc43debe407d20dd360f4853385135f97e9d,0x1111111254fb6c44bac0bed2854e76f90643097d,2022-06-27 22:20:34+00:00,673180,1244589,0.5408853846530863,233,500,551,0.9074410163339384,60,1,0x32953465d1a4dc625c1b39e1d407a8905e4ccd9fa058e5d39ae71a99ecbdb6dd,221,23,16,128368,232,1467340,76,141,883026,8,6,4,2,4,185348,45839725999,1685736,125774,0.0,491,2.0,-0.454460806461464,0.6575320153537396,0.6527301505850269,0.3642279926675446,-0.3600713072043893,-0.2908929320516581,-0.6555066737567824,1.02002688935143,-0.206899508103449,-0.330606816138246,-0.3953901753545952,0.5283375900460591,0.2459662389066845,0.2478048409418462,-0.2306251625181933,-0.5073786366910997,-0.5194537217970645,-0.6953842185255854,-0.6433040629925375,-0.3965656607577898,0.3312525805827163,-0.1516196087157808,-0.405831600152373,-0.1150914592302635,-0.9463745741541698,-0.2696655445064655,-0.0,-0.2945379257453642,0.125,1.0,9.695477065935435,0.4587754312051527,0.4225352112676056,7.25,0.000566234101562,0.4010889292196007,0.0001775686592119,9.608695652173912,0.0987124463519313,0
697,0x646742c52df9e350bd20107bbdfaee7d8bbb0de1f86ea2978c59e52c4d589cf9,2,0x74be0af0bf7254328ddffc09425ff71d64a1a836,0x1111111254fb6c44bac0bed2854e76f90643097d,2022-06-28 04:04:18+00:00,673739,1245520,0.5409298927355642,234,2439,2715,0.8983425414364641,321,2,0x646742c52df9e350bd20107bbdfaee7d8bbb0de1f86ea2978c59e52c4d589cf9,558,76,16,128406,233,1468607,165,1841,11172942,8,6,4,2,4,185348,35199549600,613479,125774,0.0,2689,2.0,-0.454460806461464,0.6585889110402455,0.6536758438829892,0.3703412520275235,0.149161293353808,0.0045906459765754,1.008766106890301,1.0326384977756562,-0.1602643656193257,0.3266385422761216,-0.3953901753545952,0.5286625677233278,0.2525044164427474,0.2490934464557937,0.2079568773134137,3.9488296830798735,3.858673027917928,-0.6953842185255854,-0.6433040629925375,-0.3965656607577898,0.3312525805827163,-0.1516196087157808,-0.405831600152373,-0.1795019898533154,-1.081895990026283,-0.2696655445064655,-0.0,0.0059970259236594,0.125,1.0,9.69985826207498,0.4587602682267834,0.1742671009771987,16.454545454545453,0.000218295215504,0.205524861878453,0.0004480056522576,7.342105263157895,0.3247863247863248,0
506,0xd63e8c6ecfca77eed8e3c4578ec763420754822e99fd345dd993c838239666a2,2,0xf41fa837908c0318a9a2b739c8fb990bfd4ac8a7,0x1111111254fb6c44bac0bed2854e76f90643097d,2022-06-30 10:32:55+00:00,679933,1257331,0.5407748635800755,236,4337,4552,0.952768014059754,437,3,0xd63e8c6ecfca77eed8e3c4578ec763420754822e99fd345dd993c838239666a2,967,137,14,129086,235,1480686,324,500,3186423,8,5,4,1,2,188654,43185986511,1335692,132647,1e+18,4543,2.0,-0.454460806461464,0.67029984463992,0.6656732483322177,0.3825677707474814,0.6476262112802951,0.2554239790809492,1.7484428982890048,1.045250106199883,-0.1036656318626302,1.0830907472436015,-0.4045448448464821,0.5344779577376096,0.2655807715148731,0.2613784235694262,0.9914910833047116,0.4336677084840645,0.4605896547390768,-0.6953842185255854,-0.705399049767879,-0.3965656607577898,-0.3888617250318844,-0.9097176522946842,-0.4049833873119658,-0.1311559267867873,-0.9906162610795411,-0.2671241666215716,-0.0,0.2594964801522171,0.1428571428571428,1.0,9.74025843236292,0.4592010330339903,0.872255489021956,14.049382716049385,0.0013610869112208,0.2124340949033392,0.0007690894442274,7.0583941605839415,0.5805084745762712,0
212,0x8918ecdb8b04f7e641c69d62231191bf9131a3bb51f309172c1adc68259a767a,2,0xf41fa837908c0318a9a2b739c8fb990bfd4ac8a7,0x1111111254fb6c44bac0bed2854e76f90643097d,2022-06-30 10:33:51+00:00,679935,1257335,0.5407747338616995,236,4338,4553,0.9527783878761256,437,4,0x8918ecdb8b04f7e641c69d62231191bf9131a3bb51f309172c1adc68259a767a,968,137,14,129086,235,1480690,324,500,3186427,8,5,4,1,2,171283,36355802255,6705855,115547,1e+18,4544,2.0,-0.454460806461464,0.670303626019836,0.6656773114613175,0.3825677707474814,0.6478888376859465,0.2555605241724595,1.7484428982890048,1.057861714624109,-0.1035272486505111,1.0830907472436015,-0.4045448448464821,0.5344779577376096,0.2655807715148731,0.261382491779415,0.9914910833047116,0.4336677084840645,0.4605913566486938,-0.6953842185255854,-0.705399049767879,-0.3965656607577898,-0.3888617250318844,-0.9097176522946842,-0.4094402249558596,-0.1725025901958189,-0.3118871007905103,-0.2734471059248869,-0.0,0.2596332112494277,0.1428571428571428,1.0,9.740289419456795,0.4592011432500096,0.872255489021956,14.052469135802468,0.0013613990336514,0.2126070722600483,0.0007698823304847,7.065693430656935,0.5805084745762712,0
137,0xd05f43d1ec5971c41da9ea62503da1f8d53e631ecfcda4420bcbb86854819ce5,2,0xf41fa837908c0318a9a2b739c8fb990bfd4ac8a7,0x1111111254fb6c44bac0bed2854e76f90643097d,2022-06-30 10:35:57+00:00,679941,1257346,0.5407747748034352,236,4339,4554,0.9527887571365832,437,5,0xd05f43d1ec5971c41da9ea62503da1f8d53e631ecfcda4420bcbb86854819ce5,969,137,14,129086,235,1480697,324,500,3186434,8,5,4,1,2,171271,37453069145,4242281,115535,5e+17,4545,2.0,-0.454460806461464,0.6703149701595837,0.6656884850663418,0.3825677707474814,0.6481514640915981,0.2556970692639698,1.7484428982890048,1.0704733230483354,-0.1033888654383921,1.0830907472436015,-0.4045448448464821,0.5344779577376096,0.2655807715148731,0.2613896111468954,0.9914910833047116,0.4336677084840645,0.4605943349905236,-0.6953842185255854,-0.705399049767879,-0.3965656607577898,-0.3888617250318844,-0.9097176522946842,-0.4094433037683475,-0.1658602621018365,-0.6232555848253318,-0.2734515430752752,-0.0,0.2597699423466384,0.1428571428571428,1.0,9.740374633964954,0.4592030245195171,0.872255489021956,14.055555555555555,0.0013617098732596,0.2127799736495388,0.0007706709211306,7.072992700729927,0.5805084745762712,0
374,0xf35a10b412edf199a8d5c80a9ac58588450090d0e463cf3ad0fffa05e61df7ca,2,0xf41fa837908c0318a9a2b739c8fb990bfd4ac8a7,0x1111111254fb6c44bac0bed2854e76f90643097d,2022-06-30 13:38:26+00:00,680327,1258165,0.5407295545496815,236,4343,4558,0.9528301886792452,437,6,0xf35a10b412edf199a8d5c80a9ac58588450090d0e463cf3ad0fffa05e61df7ca,971,137,16,129160,235,1481375,324,500,3187112,8,6,4,2,4,185348,59449745973,10568756,125774,0.0,4549,2.0,-0.454460806461464,0.6710447764833607,0.6665204107495115,0.3825677707474814,0.6492019697142039,0.2562432496300109,1.7484428982890048,1.0830849314725617,-0.103112099014154,1.0830907472436015,-0.3953901753545952,0.5351108090038698,0.2655807715148731,0.2620791727399944,0.9914910833047116,0.4336677084840645,0.4608828086706107,-0.6953842185255854,-0.6433040629925375,-0.3965656607577898,0.3312525805827163,-0.1516196087157808,-0.405831600152373,-0.0327029183412175,0.1763408267434691,-0.2696655445064655,-0.0,0.260316866735481,0.125,1.0,9.741135026323938,0.4592534238437776,0.872255489021956,14.067901234567902,0.0013626752487282,0.2130320315928038,0.0007717588710542,7.087591240875913,0.5805084745762712,0
836,0x531c055bee7e26cd391ee025aa860c7b0b7737d6808f70778d42e106437dbd3a,2,0xf41fa837908c0318a9a2b739c8fb990bfd4ac8a7,0x1111111254fb6c44bac0bed2854e76f90643097d,2022-07-03 20:33:59+00:00,689904,1274794,0.5411886155723984,239,4354,4569,0.9529437513679142,440,7,0x531c055bee7e26cd391ee025aa860c7b0b7737d6808f70778d42e106437dbd3a,979,140,14,130573,238,1502531,326,503,3208268,8,5,4,1,2,188654,28401526610,10913790,132647,1e+18,4560,2.0,-0.454460806461464,0.6891519142108521,0.6834118541993652,0.4009075488274182,0.6520908601763701,0.2577452456366239,1.7675724704803506,1.0956965398967882,-0.1020050333172015,1.1202933147010186,-0.4045448448464821,0.5471948473717819,0.2851953041230617,0.2835959353706765,1.001346859480703,0.4415316055189545,0.4698842086350973,-0.6953842185255854,-0.705399049767879,-0.3965656607577898,-0.3888617250318844,-0.9097176522946842,-0.4049833873119658,-0.2206539643652001,0.2199493051250686,-0.2671241666215716,-0.0,0.2618209088047982,0.1428571428571428,1.0,9.763075061459872,0.459160936339459,0.873015873015873,14.015337423312884,0.0013571181219529,0.2142700809805209,0.000767967216664,6.992857142857143,0.5857740585774058,0
643,0x8dcbd6124dd9ce9ee25aa50b4cbe0de26afd623fba0ed1b00f2240276108399f,2,0x74be0af0bf7254328ddffc09425ff71d64a1a836,0x1111111254fb6c44bac0bed2854e76f90643097d,2022-07-04 21:46:08+00:00,692916,1279944,0.5413643096885489,240,2476,2753,0.8993824918270977,326,8,0x8dcbd6124dd9ce9ee25aa50b4cbe0de26afd623fba0ed1b00f2240276108399f,587,81,13,131142,239,1509341,165,1847,11213676,8,4,4,1,2,165062,14257026459,8608732,128955,0.0,2727,2.0,-0.454460806461464,0.6948466723642618,0.688643132915268,0.4070208081873971,0.1588784703629123,0.0097793594539658,1.0406487272092106,1.1083081483210149,-0.156251252467873,0.3886428213718167,-0.4091221795924256,0.5520609604866736,0.2917334816591245,0.2905220628765824,0.2079568773134137,3.964557477149653,3.876004424502982,-0.6953842185255854,-0.7674940365432205,-0.3965656607577898,-0.3888617250318844,-0.9097176522946842,-0.4110363326631109,-0.3062779921970479,-0.0713845111403804,-0.2684893298910359,-0.0,0.0111928076176643,0.1538461538461538,1.0,9.759985359381432,0.4590848197426428,0.1764069264069264,16.684848484848484,0.0002208017940948,0.2132219397021431,0.0004586138143543,7.246913580246914,0.3375,0
948,0xefc14f632becb60136066abfdc6d70e4fe053c787271edcc7dc39ce939daac3d,2,0x33d5cc43debe407d20dd360f4853385135f97e9d,0x1111111254fb6c44bac0bed2854e76f90643097d,2022-07-05 03:26:25+00:00,693670,1281244,0.541403510962783,241,551,602,0.915282392026578,68,9,0xefc14f632becb60136066abfdc6d70e4fe053c787271edcc7dc39ce939daac3d,263,31,14,131249,240,1510876,78,149,926562,8,5,4,1,2,188654,15653897550,1471633,132647,9e+17,542,2.0,-0.454460806461464,0.6962722525925722,0.6899636498726803,0.4131340675473761,-0.3466773605161644,-0.2839291323846342,-0.6044944812465269,1.120919756745241,-0.2010874131944485,-0.2313999695851339,-0.4045448448464821,0.5529760292095092,0.2982716591951874,0.2920832384597785,-0.2207693863422022,-0.4864082445980598,-0.5009301375252793,-0.6953842185255854,-0.705399049767879,-0.3965656607577898,-0.3888617250318844,-0.9097176522946842,-0.4049833873119658,-0.2978220037989827,-0.9734348234250696,-0.2671241666215716,-0.0,-0.2875646397876207,0.1428571428571428,1.0,9.76193342425466,0.4591174529759868,0.4533333333333333,7.717948717948718,0.0005946708426734,0.4368770764119601,0.0002052692539438,8.483870967741936,0.1286307053941908,0
