index,transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,lb_block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
776,0x6740e23bfdc69c5d7693bd03b5831c115be94bf8b70c280d864f45ce0bc57d55,1,0x2c434867d28da51549dff76fb127ce22b9aa46c6,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:44+00:00,185351,158207352152,21498201,185351,4e+17,861,2.0,780,2021-02-02T00:00:00,582,10472,0.05557677616501146,4,862,905,0.9524861878453039,244,1,0x6740e23bfdc69c5d7693bd03b5831c115be94bf8b70c280d864f45ce0bc57d55,1,1,1,6834,3,18719,217,363,2340270,2,1.0,0.0,1,0,-0.14285714285714285,-0.5310409875383916,-0.5309989091196942,-0.5302274501381489,2.2189847189708196,2.2421619846390675,3.9276622834754273,-1.2955624488865942,-0.2836117463168828,-0.2970979973538953,-0.25100808057300505,-0.5303221485719647,-0.5394393462956424,-0.5394936914893329,2.127691226704376,2.6247905200064356,2.634295184003582,-0.5580325735968354,-0.5580325735968354,-0.1801960702247296,-0.142857142857143,-0.5682481921604174,-0.14162442063585404,-0.6718862751136808,0.3161482890437869,-0.11688213212761933,-0.0,1.7310993702868014,1.0,1.0,1.5323383084577114,0.03108974358974359,0.6703296703296703,4.170506912442396,0.0003683334109596709,0.0011049723756906078,9.549274255156608e-05,1.0,0.25,0
770,0x3721847eea94a6a3ec0a214e4f0d8090afd8ee004fb46783937891f66831e11e,1,0x7b809742017702d9be92903c21ac2d2ce2854b4a,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:44+00:00,185351,158207352152,28049044,185351,4e+17,5,2.0,777,2021-02-02T00:00:00,582,10472,0.05557677616501146,4,10,10,1.0,5,2,0x3721847eea94a6a3ec0a214e4f0d8090afd8ee004fb46783937891f66831e11e,2,1,1,6834,3,18719,3,29,187777,2,1.0,0.0,1,0,-0.14285714285714285,-0.5310409875383916,-0.5309989091196942,-0.5302274501381489,-0.43437936984512704,-0.43977827016148496,-0.5624902361391672,-1.2057176188667194,-0.2680457887802811,-0.2970979973538953,-0.25100808057300505,-0.5303221485719647,-0.5394393462956424,-0.5394936914893329,-0.48072950264218944,-0.6373961052899456,-0.6366494678692931,-0.5580325735968354,-0.5580325735968354,-0.1801960702247296,-0.142857142857143,-0.5682481921604174,-0.14162442063585404,-0.6718862751136808,1.217497103650927,-0.11688213212761933,-0.0,-0.37346114805647657,1.0,1.0,1.5323383084577114,0.03108974358974359,0.16666666666666666,3.3333333333333335,5.325437484689367e-05,0.2,0.00019098548510313216,2.0,0.25,0
771,0x7b108c516c30d8359d89be220b4d6ff95ccbf8e615936d69996b2597b2aab035,1,0x6ab1fe2a8372e92e1c7f4750055fa3f8ea3d4e2a,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:44+00:00,185351,158207352152,24914787,185351,4e+17,12,2.0,779,2021-02-02T00:00:00,582,10472,0.05557677616501146,4,18,18,1.0,10,3,0x7b108c516c30d8359d89be220b4d6ff95ccbf8e615936d69996b2597b2aab035,1,1,1,6834,3,18719,8,278,1784489,2,1.0,0.0,1,0,-0.14285714285714285,-0.5310409875383916,-0.5309989091196942,-0.5302274501381489,-0.40946515304873315,-0.41580561983924536,-0.4685539909589455,-1.1158727888468445,-0.2836117463168828,-0.2970979973538953,-0.25100808057300505,-0.5303221485719647,-0.5394393462956424,-0.5394936914893329,-0.41978509307801737,1.7945933249459793,1.7897261705096668,-0.5580325735968354,-0.5580325735968354,-0.1801960702247296,-0.142857142857143,-0.5682481921604174,-0.14162442063585404,-0.6718862751136808,0.7862459148155159,-0.11688213212761933,-0.0,-0.3562509569018002,1.0,1.0,1.5323383084577114,0.03108974358974359,0.035842293906810034,2.25,1.0086915589328043e-05,0.05555555555555555,9.549274255156608e-05,1.0,0.25,0
773,0x23634c72ab2737de5c265d3f92c73fa9519370e49af1d2f51245a8b39409bb79,1,0x92e2c0095ce4c7b4da24544f640a2e8124f141e3,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:44+00:00,185331,158207352152,20561215,185331,4e+17,36,2.0,778,2021-02-02T00:00:00,582,10472,0.05557677616501146,4,41,46,0.8913043478260869,19,4,0x23634c72ab2737de5c265d3f92c73fa9519370e49af1d2f51245a8b39409bb79,1,1,1,6834,3,18719,17,117,753209,2,1.0,0.0,1,0,-0.14285714285714285,-0.5310409875383916,-0.5309989091196942,-0.5302274501381489,-0.3378367797591008,-0.33190134371140684,-0.29946874963454656,-1.0260279588269698,-0.2836117463168828,-0.2970979973538953,-0.25100808057300505,-0.5303221485719647,-0.5394393462956424,-0.5394936914893329,-0.31008515586250757,0.22210216724323262,0.22258527825893293,-0.5580325735968354,-0.5580325735968354,-0.1801960702247296,-0.142857142857143,-0.5682481921604174,-0.14162924268625157,-0.6718862751136808,0.18722576404914335,-0.11689863543720501,-0.0,-0.2972445872286242,1.0,1.0,1.5323383084577114,0.03108974358974359,0.16101694915254236,2.7058823529411766,5.443369047144887e-05,0.021739130434782608,9.549274255156608e-05,1.0,0.25,0
775,0x614037b893b71145006b4a41d079ddc3180199c4348bb1593cdf299cc15b5243,1,0xd7963c15a9c987b4885569ee7de027e9a366604d,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:44+00:00,46175,158207352152,24177921,46175,0.0,188,2.0,783,2021-02-02T00:00:00,582,10472,0.05557677616501146,4,209,213,0.9812206572769953,66,5,0x614037b893b71145006b4a41d079ddc3180199c4348bb1593cdf299cc15b5243,2,1,1,6834,3,18719,71,106,680490,2,1.0,0.0,1,0,-0.14285714285714285,-0.5310409875383916,-0.5309989091196942,-0.5302274501381489,0.1853617729651704,0.16852773176534422,0.5835319550595369,-0.9361831288070951,-0.2680457887802811,-0.2970979973538953,-0.25100808057300505,-0.5303221485719647,-0.5394393462956424,-0.5394936914893329,0.348114467430551,0.11466488317658532,0.11208093555512688,-0.5580325735968354,-0.5580325735968354,-0.1801960702247296,-0.142857142857143,-0.5682481921604174,-0.17518010494219338,-0.6718862751136808,0.6848584604643271,-0.23172536287247533,-0.0,0.07646242070149058,1.0,1.0,1.5323383084577114,0.03108974358974359,0.616822429906542,3.0,0.00030713117440201267,0.009389671361502348,0.00019098548510313216,2.0,0.25,0
780,0xbefaad0efef1308ddc2eef510ea4b10083a6138b266cef596d0f1db3839af4ff,1,0x052c5fcc6cbc76173ec4ce625af1eb24eb5b574d,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:44+00:00,185319,158207352152,13751744,185319,4e+17,15,2.0,752,2021-02-02T00:00:00,582,10472,0.05557677616501146,4,18,18,1.0,9,6,0xbefaad0efef1308ddc2eef510ea4b10083a6138b266cef596d0f1db3839af4ff,1,1,1,6834,3,18719,12,16,104406,2,1.0,0.0,1,0,-0.14285714285714285,-0.5310409875383916,-0.5309989091196942,-0.5302274501381489,-0.40946515304873315,-0.41580561983924536,-0.48734123999498985,-0.8463382987872203,-0.2836117463168828,-0.2970979973538953,-0.25100808057300505,-0.5303221485719647,-0.5394393462956424,-0.5394936914893329,-0.3710295654266797,-0.7643674410050743,-0.7633406703825154,-0.5580325735968354,-0.5580325735968354,-0.1801960702247296,-0.142857142857143,-0.5682481921604174,-0.1416321359164901,-0.6718862751136808,-0.7497084005998487,-0.11690853742295643,-0.0,-0.34887516069265323,1.0,1.0,1.5323383084577114,0.03108974358974359,0.5294117647058824,1.5,0.00017240223356671487,0.05555555555555555,9.549274255156608e-05,1.0,0.25,0
777,0x24cb8df9bc9f74e6375f5ccec69db6ffba3168b434e6d5a8a2bff72467e29617,1,0x5290757622da780f05316d1147fc013e5b708a67,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:44+00:00,185351,158207352152,12425315,185351,4e+17,6,2.0,768,2021-02-02T00:00:00,582,10472,0.05557677616501146,4,10,10,1.0,8,7,0x24cb8df9bc9f74e6375f5ccec69db6ffba3168b434e6d5a8a2bff72467e29617,1,1,1,6834,3,18719,5,31,202635,2,1.0,0.0,1,0,-0.14285714285714285,-0.5310409875383916,-0.5309989091196942,-0.5302274501381489,-0.43437936984512704,-0.43977827016148496,-0.5061284890310341,-0.7564934687673455,-0.2836117463168828,-0.2970979973538953,-0.25100808057300505,-0.5303221485719647,-0.5394393462956424,-0.5394936914893329,-0.45635173881652064,-0.6178620536414643,-0.6140711386308114,-0.5580325735968354,-0.5580325735968354,-0.1801960702247296,-0.142857142857143,-0.5682481921604174,-0.14162442063585404,-0.6718862751136808,-0.9322154774463758,-0.11688213212761933,-0.0,-0.37100254932009424,1.0,1.0,1.5323383084577114,0.03108974358974359,0.25,2.0,4.9349572632701e-05,0.1,9.549274255156608e-05,1.0,0.25,0
778,0x43c35141935d3f93ac1575590c14398f9bdc143436695250fc27b4738920cac1,1,0x0c937363531553d5b98e0c4fdce4e15392a291e6,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:44+00:00,96118,158207352152,28211710,86518,0.0,1,2.0,782,2021-02-02T00:00:00,582,10472,0.05557677616501146,4,3,3,1.0,1,8,0x43c35141935d3f93ac1575590c14398f9bdc143436695250fc27b4738920cac1,2,1,1,6834,3,18719,1,0,5,2,1.0,0.0,1,0,-0.14285714285714285,-0.5310409875383916,-0.5309989091196942,-0.5302274501381489,-0.45617930954197167,-0.46075433919344455,-0.6376392322833444,-0.6666486387474707,-0.2680457887802811,-0.2970979973538953,-0.25100808057300505,-0.5303221485719647,-0.5394393462956424,-0.5394936914893329,-0.5051072664678583,-0.9206398541929248,-0.9219892200410649,-0.5580325735968354,-0.5580325735968354,-0.1801960702247296,-0.142857142857143,-0.5682481921604174,-0.16313872179199862,-0.6718862751136808,1.2398787736553654,-0.1984357119417134,-0.0,-0.3832955430020059,1.0,1.0,1.5323383084577114,0.03108974358974359,1.0,3.0,0.5,0.6666666666666666,0.00019098548510313216,2.0,0.25,0
779,0x9d331321e823515958c7e5439dc5678865dc8e3f0f11d875b4b8949c059caa76,1,0x52313d4e0d3e89227760174eec69c1c90c07e181,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:44+00:00,185319,158207352152,27190835,185319,4e+17,6,2.0,753,2021-02-02T00:00:00,582,10472,0.05557677616501146,4,10,11,0.9090909090909091,7,9,0x9d331321e823515958c7e5439dc5678865dc8e3f0f11d875b4b8949c059caa76,1,1,1,6834,3,18719,5,31,202616,2,1.0,0.0,1,0,-0.14285714285714285,-0.5310409875383916,-0.5309989091196942,-0.5302274501381489,-0.43437936984512704,-0.436781688871205,-0.5249157380670785,-0.576803808727596,-0.2836117463168828,-0.2970979973538953,-0.25100808057300505,-0.5303221485719647,-0.5394393462956424,-0.5394936914893329,-0.45635173881652064,-0.6178620536414643,-0.6141000111745946,-0.5580325735968354,-0.5580325735968354,-0.1801960702247296,-0.142857142857143,-0.5682481921604174,-0.1416321359164901,-0.6718862751136808,1.0994137264679935,-0.11690853742295643,-0.0,-0.37100254932009424,1.0,1.0,1.5323383084577114,0.03108974358974359,0.21875,2.2,4.9354200289215614e-05,0.09090909090909091,9.549274255156608e-05,1.0,0.25,0
781,0xc407708ef51e9c7a244b256ff74451f075a7b3f032ef5ae242c810549661920d,1,0x962a32159e52e2662b4999bc951186eb6f57df08,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:44+00:00,185327,158207352152,11290416,185327,4e+17,95,2.0,755,2021-02-02T00:00:00,582,10472,0.05557677616501146,4,118,123,0.959349593495935,52,10,0xc407708ef51e9c7a244b256ff74451f075a7b3f032ef5ae242c810549661920d,1,1,1,6834,3,18719,35,164,1054099,2,1.0,0.0,1,0,-0.14285714285714285,-0.5310409875383916,-0.5309989091196942,-0.5302274501381489,-0.09803744309380984,-0.10116458435985097,0.3205104685549163,-0.4869589787077212,-0.2836117463168828,-0.2970979973538953,-0.25100808057300505,-0.5303221485719647,-0.5394393462956424,-0.5394936914893329,-0.09068528143148805,0.6811523809825437,0.6798199992554841,-0.5580325735968354,-0.5580325735968354,-0.1801960702247296,-0.142857142857143,-0.5682481921604174,-0.1416302070963311,-0.6718862751136808,-1.0883694057803062,-0.11690193609912215,-0.0,-0.15218726178206649,1.0,1.0,1.5323383084577114,0.03108974358974359,0.3151515151515151,3.5142857142857142,0.00011194383834550801,0.008130081300813009,9.549274255156608e-05,1.0,0.25,0
782,0x27b6f69d4c449f6fff1b0b54502b9a3c3393939e0bbf433ae0663eb5a028fed9,1,0x465e18fc558095b7800185e1bef1f6c38efb497b,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:44+00:00,185331,158207352152,19309699,185331,4e+17,3,2.0,781,2021-02-02T00:00:00,582,10472,0.05557677616501146,4,7,7,1.0,5,11,0x27b6f69d4c449f6fff1b0b54502b9a3c3393939e0bbf433ae0663eb5a028fed9,1,1,1,6834,3,18719,4,15,101716,2,1.0,0.0,1,0,-0.14285714285714285,-0.5310409875383916,-0.5309989091196942,-0.5302274501381489,-0.44372220114377475,-0.4487680140323248,-0.5624902361391672,-0.39711414868784645,-0.2836117463168828,-0.2970979973538953,-0.25100808057300505,-0.5303221485719647,-0.5394393462956424,-0.5394936914893329,-0.46854062072935504,-0.774134466829315,-0.767428414739193,-0.5580325735968354,-0.5580325735968354,-0.1801960702247296,-0.142857142857143,-0.5682481921604174,-0.14162924268625157,-0.6718862751136808,0.015026176444636639,-0.11689863543720501,-0.0,-0.3783783455292412,1.0,1.0,1.5323383084577114,0.03108974358974359,0.3125,1.75,6.881838827334664e-05,0.14285714285714285,9.549274255156608e-05,1.0,0.25,0
772,0x8fc63af3355a54297488d8de1649f19afacf7eb8d13011b9e5e43c84ae15af5e,1,0x20ed7bba79d561eb6b56ebe2589ae2d749caedab,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:44+00:00,185331,158207352152,25340596,185331,4e+17,5,2.0,765,2021-02-02T00:00:00,582,10472,0.05557677616501146,4,9,9,1.0,5,12,0x8fc63af3355a54297488d8de1649f19afacf7eb8d13011b9e5e43c84ae15af5e,1,1,1,6834,3,18719,5,152,977462,2,1.0,0.0,1,0,-0.14285714285714285,-0.5310409875383916,-0.5309989091196942,-0.5302274501381489,-0.4374936469446763,-0.4427748514517649,-0.5624902361391672,-0.3072693186679717,-0.2836117463168828,-0.2970979973538953,-0.25100808057300505,-0.5303221485719647,-0.5394393462956424,-0.5394936914893329,-0.45635173881652064,0.5639480710916558,0.5633618341020636,-0.5580325735968354,-0.5580325735968354,-0.1801960702247296,-0.142857142857143,-0.5682481921604174,-0.14162924268625157,-0.6718862751136808,0.8448341663426936,-0.11689863543720501,-0.0,-0.37346114805647657,1.0,1.0,1.5323383084577114,0.03108974358974359,0.032679738562091505,1.8,9.207509644866353e-06,0.1111111111111111,9.549274255156608e-05,1.0,0.25,0
766,0xa8e9fa1457dc1c4fb544db66c72bd173f38e972c27ec07f2a8cbe3d45ccbb89a,1,0x8cf0f3760286c539317ca973db236bfb2eecac63,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:44+00:00,46175,158207352152,29972823,46175,0.0,2,2.0,767,2021-02-02T00:00:00,582,10472,0.05557677616501146,4,5,5,1.0,2,13,0xa8e9fa1457dc1c4fb544db66c72bd173f38e972c27ec07f2a8cbe3d45ccbb89a,2,1,1,6834,3,18719,2,0,85,2,1.0,0.0,1,0,-0.14285714285714285,-0.5310409875383916,-0.5309989091196942,-0.5302274501381489,-0.4499507553428732,-0.4547611766128847,-0.6188519832473002,-0.21742448864809694,-0.2680457887802811,-0.2970979973538953,-0.25100808057300505,-0.5303221485719647,-0.5394393462956424,-0.5394936914893329,-0.4929183845550239,-0.9206398541929248,-0.9218676514356617,-0.5580325735968354,-0.5580325735968354,-0.1801960702247296,-0.142857142857143,-0.5682481921604174,-0.17518010494219338,-0.6718862751136808,1.4821952381072268,-0.23172536287247533,-0.0,-0.38083694426562353,1.0,1.0,1.5323383084577114,0.03108974358974359,2.0,2.5,0.05813953488372093,0.4,0.00019098548510313216,2.0,0.25,0
765,0xd5b21803f12961a3fff7fa6fc6df5c3f976b17b77d7fcfa884edf18a14b8d9c9,1,0xd1a35cc86caffbf78ebac6af5d21a76e81280995,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:44+00:00,46163,158207352152,28125192,46163,0.0,55,2.0,759,2021-02-02T00:00:00,582,10472,0.05557677616501146,4,70,70,1.0,29,14,0xd5b21803f12961a3fff7fa6fc6df5c3f976b17b77d7fcfa884edf18a14b8d9c9,2,1,1,6834,3,18719,26,327,2106435,2,1.0,0.0,1,0,-0.14285714285714285,-0.5310409875383916,-0.5309989091196942,-0.5302274501381489,-0.24752274387217305,-0.2599833927446881,-0.11159625927410327,-0.12757965862822215,-0.2680457887802811,-0.2970979973538953,-0.25100808057300505,-0.5303221485719647,-0.5394393462956424,-0.5394936914893329,-0.20038521864699782,2.2731775903337716,2.278957748448301,-0.5580325735968354,-0.5580325735968354,-0.1801960702247296,-0.142857142857143,-0.5682481921604174,-0.1751829981724319,-0.6718862751136808,1.2279745199979077,-0.23173526485822676,-0.0,-0.25053121123735983,1.0,1.0,1.5323383084577114,0.03108974358974359,0.08841463414634146,2.6923076923076925,3.323148673873785e-05,0.02857142857142857,0.00019098548510313216,2.0,0.25,0
751,0xf5fcf2614313aae0480bb4bf0764faf80f24971f8d45475abc21a2a37f6d5403,1,0xd89ac346bf401409e4af1a203a1fe02344807471,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:44+00:00,185331,158207352152,21312850,185331,4e+17,0,2.0,756,2021-02-02T00:00:00,582,10472,0.05557677616501146,4,2,2,1.0,1,15,0xf5fcf2614313aae0480bb4bf0764faf80f24971f8d45475abc21a2a37f6d5403,1,1,1,6834,3,18719,1,0,0,2,1.0,0.0,1,0,-0.14285714285714285,-0.5310409875383916,-0.5309989091196942,-0.5302274501381489,-0.4592935866415209,-0.4637509204837245,-0.6376392322833444,-0.0377348286083474,-0.2836117463168828,-0.2970979973538953,-0.25100808057300505,-0.5303221485719647,-0.5394393462956424,-0.5394936914893329,-0.5051072664678583,-0.9206398541929248,-0.9219968180789025,-0.5580325735968354,-0.5580325735968354,-0.1801960702247296,-0.142857142857143,-0.5682481921604174,-0.14162924268625157,-0.6718862751136808,0.290645326427182,-0.11689863543720501,-0.0,-0.38575414173838823,1.0,1.0,1.5323383084577114,0.03108974358974359,1.0,2.0,2.0,0.5,9.549274255156608e-05,1.0,0.25,0
752,0xc9c82a8b99138177d9db228c4976ff11b3461c3207434ad3033a38aef4b13860,1,0x4f62d92afb85b7c6724507cb2bc322403da86528,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:44+00:00,185351,158207352152,12795997,185351,4e+17,1,2.0,758,2021-02-02T00:00:00,582,10472,0.05557677616501146,4,5,5,1.0,3,16,0xc9c82a8b99138177d9db228c4976ff11b3461c3207434ad3033a38aef4b13860,1,1,1,6834,3,18719,2,2,15917,2,1.0,0.0,1,0,-0.14285714285714285,-0.5310409875383916,-0.5309989091196942,-0.5302274501381489,-0.4499507553428732,-0.4547611766128847,-0.6000647342112558,0.05211000141152737,-0.2836117463168828,-0.2970979973538953,-0.25100808057300505,-0.5303221485719647,-0.5394393462956424,-0.5394936914893329,-0.4929183845550239,-0.9011058025444435,-0.897809224426398,-0.5580325735968354,-0.5580325735968354,-0.1801960702247296,-0.142857142857143,-0.5682481921604174,-0.14162442063585404,-0.6718862751136808,-0.8812123040691168,-0.11688213212761933,-0.0,-0.3832955430020059,1.0,1.0,1.5323383084577114,0.03108974358974359,1.0,2.5,0.0003141098127905516,0.2,9.549274255156608e-05,1.0,0.25,0
753,0xfa280d80062e535843aef341f4b06af9a01e05e248c3a58eb061dc9b4a4e5dea,1,0x805b2aa0a12bae969b42cb520b3788ef0c48236a,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:44+00:00,46175,158207352152,22679975,46175,0.0,751,2.0,754,2021-02-02T00:00:00,582,10472,0.05557677616501146,4,694,767,0.9048239895697523,167,17,0xfa280d80062e535843aef341f4b06af9a01e05e248c3a58eb061dc9b4a4e5dea,2,1,1,6834,3,18719,173,255,1636889,2,1.0,0.0,1,0,-0.14285714285714285,-0.5310409875383916,-0.5309989091196942,-0.5302274501381489,1.6957861662465485,1.8286337665804346,2.481044107700014,0.14195483143140214,-0.2680457887802811,-0.2970979973538953,-0.25100808057300505,-0.5303221485719647,-0.5394393462956424,-0.5394936914893329,1.5913804225396617,1.569951730988444,1.565432093541037,-0.5580325735968354,-0.5580325735968354,-0.1801960702247296,-0.142857142857143,-0.5682481921604174,-0.17518010494219338,-0.6718862751136808,0.47875187976234607,-0.23172536287247533,-0.0,1.4606535092847448,1.0,1.0,1.5323383084577114,0.03108974358974359,0.65234375,4.433526011560693,0.00042397473257213374,0.002607561929595828,0.00019098548510313216,2.0,0.25,0
754,0x0ba4ec3c789e650fdae883aa677fb537ee52e939b5cfd8dd4e1f629e547209b7,1,0x4504efe6321e891c115aea35727a6a7895dd0a64,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:44+00:00,185351,158207352152,16644521,185351,4e+17,60,2.0,774,2021-02-02T00:00:00,582,10472,0.05557677616501146,4,62,65,0.9538461538461539,25,18,0x0ba4ec3c789e650fdae883aa677fb537ee52e939b5cfd8dd4e1f629e547209b7,1,1,1,6834,3,18719,26,47,302965,2,1.0,0.0,1,0,-0.14285714285714285,-0.5310409875383916,-0.5309989091196942,-0.5302274501381489,-0.27243696066856693,-0.2749662991960879,-0.18674525541828058,0.2317996614512769,-0.2836117463168828,-0.2970979973538953,-0.25100808057300505,-0.5303221485719647,-0.5394393462956424,-0.5394936914893329,-0.20038521864699782,-0.4615896404536137,-0.4616089113797097,-0.5580325735968354,-0.5580325735968354,-0.1801960702247296,-0.142857142857143,-0.5682481921604174,-0.14162442063585404,-0.6718862751136808,-0.351683120514095,-0.11688213212761933,-0.0,-0.2382382175554482,1.0,1.0,1.5323383084577114,0.03108974358974359,0.5208333333333334,2.5,0.00020464342533485605,0.015384615384615385,9.549274255156608e-05,1.0,0.25,0
756,0xfb311ec1d7f1ab2c7aa1b6fcfd9ad22b1b84e3bba2a6d95500b8cdc6c877e532,1,0x29a362514be88b592fdf30fdccdbeb1dfc18023b,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:44+00:00,185331,158207352152,12610646,185331,4e+17,0,2.0,772,2021-02-02T00:00:00,582,10472,0.05557677616501146,4,2,2,1.0,1,19,0xfb311ec1d7f1ab2c7aa1b6fcfd9ad22b1b84e3bba2a6d95500b8cdc6c877e532,1,1,1,6834,3,18719,1,0,0,2,1.0,0.0,1,0,-0.14285714285714285,-0.5310409875383916,-0.5309989091196942,-0.5302274501381489,-0.4592935866415209,-0.4637509204837245,-0.6376392322833444,0.32164449147115165,-0.2836117463168828,-0.2970979973538953,-0.25100808057300505,-0.5303221485719647,-0.5394393462956424,-0.5394936914893329,-0.5051072664678583,-0.9206398541929248,-0.9219968180789025,-0.5580325735968354,-0.5580325735968354,-0.1801960702247296,-0.142857142857143,-0.5682481921604174,-0.14162924268625157,-0.6718862751136808,-0.9067152666857217,-0.11689863543720501,-0.0,-0.38575414173838823,1.0,1.0,1.5323383084577114,0.03108974358974359,1.0,2.0,2.0,0.5,9.549274255156608e-05,1.0,0.25,0
757,0x0dba6d65c0850e44e4e00937d1d24904f8898732d4d59d3359a257d0925559ae,1,0x2b4ffdc7ebe6fc7280aae5d0812f21328e4bbe54,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:44+00:00,185331,158707352152,8336213,185331,4e+17,38,2.0,775,2021-02-02T00:00:00,582,10472,0.05557677616501146,4,53,53,1.0,18,20,0x0dba6d65c0850e44e4e00937d1d24904f8898732d4d59d3359a257d0925559ae,1,1,1,6834,3,18719,17,44,285148,2,1.0,0.0,1,0,-0.14285714285714285,-0.5310409875383916,-0.5309989091196942,-0.5302274501381489,-0.30046545456451,-0.31092527467944725,-0.3182559986705909,0.41148932149102646,-0.2836117463168828,-0.2970979973538953,-0.25100808057300505,-0.5303221485719647,-0.5394393462956424,-0.5394936914893329,-0.31008515586250757,-0.4908907179263357,-0.48868375941053677,-0.5580325735968354,-0.5580325735968354,-0.1801960702247296,-0.142857142857143,-0.5682481921604174,-0.14162924268625157,-0.6393220971648216,-1.494846461047675,-0.11689863543720501,-0.0,-0.29232738975585953,1.0,1.0,1.5323383084577114,0.03108974358974359,0.4,3.1176470588235294,0.00018586773932224908,0.018867924528301886,9.549274255156608e-05,1.0,0.25,0
755,0xbf1666e02b8dc2871808597904b94bd6b62dec1c3d9b0ae8012c0c77d412719a,1,0x63840416cfedece115cf48a85dfc2478d74feaea,0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,2022-02-02 18:05:44+00:00,46175,158207352152,11726037,46175,0.0,6,2.0,770,2021-02-02T00:00:00,582,10472,0.05557677616501146,4,11,11,1.0,5,21,0xbf1666e02b8dc2871808597904b94bd6b62dec1c3d9b0ae8012c0c77d412719a,2,1,1,6834,3,18719,5,19,122400,2,1.0,0.0,1,0,-0.14285714285714285,-0.5310409875383916,-0.5309989091196942,-0.5302274501381489,-0.43126509274557784,-0.436781688871205,-0.5624902361391672,0.5013341515109012,-0.2680457887802811,-0.2970979973538953,-0.25100808057300505,-0.5303221485719647,-0.5394393462956424,-0.5394936914893329,-0.45635173881652064,-0.7350663635323523,-0.7359968518122341,-0.5580325735968354,-0.5580325735968354,-0.1801960702247296,-0.142857142857143,-0.5682481921604174,-0.17518010494219338,-0.6718862751136808,-1.028431093723678,-0.23172536287247533,-0.0,-0.37100254932009424,1.0,1.0,1.5323383084577114,0.03108974358974359,0.25,2.2,8.986854682559782e-05,0.18181818181818182,0.00019098548510313216,2.0,0.25,0
