index,transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
48,0xd1911ab915f591cce8ad2658751364d957d4bff339680c611391ffd2196841c2,1,0xed059bc543141c8c93031d545079b3da0233b27f,0x8b3b3b624c3c0397d3da8fd861512393d51dcbac,2016-06-17 02:41:54+00:00,250000,20000000000,131435,50376,0.0,13805,,49,7142,10929,0.6534907127825053,21,8162,13812,0.590935418476687,22,1,0xd1911ab915f591cce8ad2658751364d957d4bff339680c611391ffd2196841c2,10929,21,2,1,20,117714,3,21,122249,3,1.0,1.0,1,1,-0.0725264215544584,-1.82961778947048,-1.8442792244970885,-1.4215157277491253,-0.1353176362787585,-0.1456740902396461,-0.218331293492128,-0.7635581462841877,1.4171259326895065,0.5536501506466399,0.2264033464022256,-1.9454257260419328,-1.4265430471509704,-1.4767092728119915,-0.6873532362215898,-0.3682963606198425,-0.384788928480356,1.1068939003967275,1.1817295813032147,0.7052528000436467,-0.0548545994538608,1.5745150790370896,0.1287914056267317,-0.1124976483161674,-0.3620976849055047,-0.1017857187330779,-0.0,0.5307207599327878,0.5,1.0,10929.0,0.0606719619419785,1.0,4604.0,0.0667648261758691,0.7912684622067767,1.0,520.4285714285714,1.0,0
47,0x2f0458df2cdcda0b5a528ad227e002ce8b668346518c2c905b4f70fbbadd4a6c,1,0xed059bc543141c8c93031d545079b3da0233b27f,0x8b3b3b624c3c0397d3da8fd861512393d51dcbac,2016-06-17 02:42:09+00:00,250000,20000000000,71376,50376,0.0,13806,,48,7143,10930,0.6535224153705398,21,8163,13813,0.590965032939984,22,2,0x2f0458df2cdcda0b5a528ad227e002ce8b668346518c2c905b4f70fbbadd4a6c,10930,21,2,1,20,117715,3,21,122250,3,1.0,1.0,1,1,-0.0725264215544584,-1.8295757871609384,-1.8442553267628623,-1.4215157277491253,-0.1352909718959815,-0.145655961625771,-0.218331293492128,-0.7595381497258842,1.417336524772585,0.5536501506466399,0.2264033464022256,-1.9454257260419328,-1.4265430471509704,-1.476697816002841,-0.6873532362215898,-0.3682963606198425,-0.384786579363211,1.1068939003967275,1.1817295813032147,0.7052528000436467,-0.0548545994538608,1.5745150790370896,0.1287914056267317,-0.1124976483161674,-0.4722731971742381,-0.1017857187330779,-0.0,0.5308248845258178,0.5,1.0,10930.0,0.0606799415542492,1.0,4604.333333333333,0.066772459938978,0.7912835734453052,1.0,520.4761904761905,1.0,0
32,0xaa9a2240ebb0e93550ece341aa6347f13d9996048e4ca66a4a34acf0ca78c0af,1,0xed059bc543141c8c93031d545079b3da0233b27f,0x8b3b3b624c3c0397d3da8fd861512393d51dcbac,2016-06-17 03:01:47+00:00,250000,20000000000,311312,80312,0.0,13811,,33,7145,10934,0.6534662520578014,21,8166,13818,0.5909683022145028,22,3,0xaa9a2240ebb0e93550ece341aa6347f13d9996048e4ca66a4a34acf0ca78c0af,10934,21,2,1,20,117812,3,21,122347,3,1.0,1.0,1,1,-0.0725264215544584,-1.8294917825418555,-1.8441597358259576,-1.4215157277491253,-0.1352109787476502,-0.1455653185563957,-0.218331293492128,-0.7555181531675805,1.4181788931049004,0.5536501506466399,0.2264033464022256,-1.9454257260419328,-1.4265430471509704,-1.4755865055152406,-0.6873532362215898,-0.3682963606198425,-0.3845587150001401,1.1068939003967275,1.1817295813032147,0.7052528000436467,-0.0548545994538608,1.5745150790370896,0.1287914056267317,-0.1124976483161674,-0.0321214844965241,-0.0103010908642489,-0.0,0.5313455074909677,0.5,1.0,10934.0,0.0606469574664935,1.0,4606.0,0.0667440415862948,0.7912867274569402,1.0,520.6666666666666,1.0,0
20,0xbfd21368e7e050fe8720a56782dfa19820bbd2853f681a3f880feaee1a09dd07,1,0xed059bc543141c8c93031d545079b3da0233b27f,0x8b3b3b624c3c0397d3da8fd861512393d51dcbac,2016-06-17 03:15:33+00:00,250000,22663466005,611218,50376,0.0,13818,,22,7148,10938,0.6535015542146645,21,8172,13825,0.5911030741410488,22,4,0xbfd21368e7e050fe8720a56782dfa19820bbd2853f681a3f880feaee1a09dd07,10938,21,2,1,20,117875,3,21,122410,3,1.0,1.0,1,1,-0.0725264215544584,-1.829365775613231,-1.844064144889053,-1.4215157277491253,-0.1350509924509877,-0.1454384182592703,-0.218331293492128,-0.751498156609277,1.4190212614372155,0.5536501506466399,0.2264033464022256,-1.9454257260419328,-1.4265430471509704,-1.474864726538758,-0.6873532362215898,-0.3682963606198425,-0.3844107206200013,1.1068939003967275,1.1817295813032147,0.7052528000436467,-0.0548545994538608,1.5745150790370896,0.1287914056267317,0.203838543285611,0.5180424739854146,-0.1017857187330779,-0.0,0.5320743796421776,0.5,1.0,10938.0,0.0606399945705656,1.0,4608.333333333333,0.0667587063254119,0.7911754068716094,1.0,520.8571428571429,1.0,0
18,0xe4b3b0b731a555d93f5aca7b8b357c0f8101dd7d48166649bc84f9e916aa7bce,1,0xed059bc543141c8c93031d545079b3da0233b27f,0x8b3b3b624c3c0397d3da8fd861512393d51dcbac,2016-06-17 03:16:31+00:00,250000,21974345424,134376,50376,0.0,13819,,19,7149,10939,0.6535332297284944,21,8173,13826,0.5911326486330103,22,5,0xe4b3b0b731a555d93f5aca7b8b357c0f8101dd7d48166649bc84f9e916aa7bce,10939,21,2,1,20,117878,3,21,122413,3,1.0,1.0,1,1,-0.0725264215544584,-1.8293237733036896,-1.844040247154827,-1.4215157277491253,-0.1350243280682106,-0.1454202896453953,-0.218331293492128,-0.7474781600509733,1.4192318535202944,0.5536501506466399,0.2264033464022256,-1.9454257260419328,-1.4265430471509704,-1.4748303561113063,-0.6873532362215898,-0.3682963606198425,-0.3844036732685661,1.1068939003967275,1.1817295813032147,0.7052528000436467,-0.0548545994538608,1.5745150790370896,0.1287914056267317,0.1219926403385805,-0.3567025537580939,-0.1017857187330779,-0.0,0.5321785042352075,0.5,1.0,10939.0,0.0606469345684982,1.0,4608.666666666667,0.0667652392700181,0.7911905106321423,1.0,520.9047619047619,1.0,0
10,0xbaf7c616deea99bb1b5cb2b1cc978ae023a16c4c9bf0e6463dd4c43ce29fa70e,2,0xed059bc543141c8c93031d545079b3da0233b27f,0x8b3b3b624c3c0397d3da8fd861512393d51dcbac,2016-06-17 03:24:36+00:00,250000,20000000000,25709,25709,0.0,13822,,11,7152,10942,0.6536282215317126,21,8176,13829,0.5912213464458747,22,6,0xbaf7c616deea99bb1b5cb2b1cc978ae023a16c4c9bf0e6463dd4c43ce29fa70e,10942,21,4,1,20,117905,3,21,122440,4,2.0,2.0,1,1,1.5391718352112875,-1.8291977663750647,-1.8439685539521484,-1.4215157277491253,-0.1349443349198793,-0.1453659038037701,-0.218331293492128,-0.7434581634926697,1.4198636297695306,0.5536501506466399,0.9760833013764828,-1.9454257260419328,-1.4265430471509704,-1.4745210222642424,-0.6873532362215898,-0.3682963606198425,-0.3843402471056495,2.6357528788452464,2.8072173134947067,1.6874990396587537,-0.0548545994538608,1.5745150790370896,0.1287914056267317,-0.1124976483161674,-0.5560472380136835,-0.1771682453111246,-0.0,0.5324908780142975,0.5,1.0,10942.0,0.0606584906620528,1.0,4609.666666666667,0.0667750181720175,0.7912358088075783,1.0,521.047619047619,1.0,0
49,0x68555ac7a591d7da15f384816180e749fc9bcc34840029d74c8bc7fedb6dd284,1,0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-17 02:41:44+00:00,100000,20000000000,116684,47778,0.0,2101,,51,63201,109941,0.574862880999809,49,5043,6407,0.7871078507882004,137,1,0x68555ac7a591d7da15f384816180e749fc9bcc34840029d74c8bc7fedb6dd284,640,34,1,32162,48,289251,701,136,777223,2,0.0,0.0,1,0,-0.0725264215544584,0.5249896811132246,0.5218832367024202,0.552811671902438,-0.2184838461604866,-0.2799164759844346,1.2817343506466412,1.7408997095389616,-0.7496560101079974,1.56127327236109,-0.1484366310849028,0.5182972698909505,0.5183956157611965,0.488557398440504,-0.5161660760348111,1.07104576781358,1.1538217244881344,-0.4219650780517908,-0.4437581508882774,-0.2769934395714601,-0.0548545994538608,-0.4890695592815074,-0.2406928791218645,-0.1124976483161674,-0.389157725556799,-0.1097252251201442,-0.0,-0.687953476890159,1.0,1.0,3.418350848827809,0.2184980570575138,1.0,9.139800285306706,0.0064884769384373,0.099890744498205,0.0058213041540462,18.823529411764707,0.6938775510204082,0
50,0x6a8d09473f35f788de631281f3dcc7356e4487f0196223e1b63264427b040305,1,0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-17 02:41:44+00:00,100000,20000000000,47906,47906,0.0,2100,,50,63201,109941,0.574862880999809,49,5043,6407,0.7871078507882004,137,2,0x6a8d09473f35f788de631281f3dcc7356e4487f0196223e1b63264427b040305,640,34,1,32162,48,289251,701,136,777223,2,0.0,0.0,1,0,-0.0725264215544584,0.5249896811132246,0.5218832367024202,0.552811671902438,-0.2184838461604866,-0.2799164759844346,1.2817343506466412,1.736879712980658,-0.7496560101079974,1.56127327236109,-0.1484366310849028,0.5182972698909505,0.5183956157611965,0.488557398440504,-0.5161660760348111,1.07104576781358,1.1538217244881344,-0.4219650780517908,-0.4437581508882774,-0.2769934395714601,-0.0548545994538608,-0.4890695592815074,-0.2406928791218645,-0.1124976483161674,-0.5153278479833954,-0.109334056214238,-0.0,-0.688057601483189,1.0,1.0,3.418350848827809,0.2184980570575138,1.0,9.139800285306706,0.0064884769384373,0.099890744498205,0.0058213041540462,18.823529411764707,0.6938775510204082,0
46,0xcb35104ce30ccdb3a004ac530598a39c9f6ce6663b68ae5908e322a698121373,1,0x75f9e0415ff1abfa7f5ad84073b1ebbdff848dd6,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-17 02:43:02+00:00,100000,21000000000,56361,56361,0.0,1,,47,63202,109942,0.5748667479216314,49,3,3,1.0,1,3,0xcb35104ce30ccdb3a004ac530598a39c9f6ce6663b68ae5908e322a698121373,2,1,1,32162,48,289260,1,0,11,2,0.0,0.0,1,0,-0.0725264215544584,0.5250316834227661,0.5219071344366464,0.552811671902438,-0.3528723353569948,-0.3960121192402921,-0.4922563241609467,1.7449197060972652,-0.8840137591122552,-0.9965392673755912,-0.1484366310849028,0.5182972698909505,0.5183956157611965,0.4886605097228587,-0.6878437438439015,-0.6311327492902935,-0.6719403100581932,-0.4219650780517908,-0.4437581508882774,-0.2769934395714601,-0.0548545994538608,-0.4890695592815074,-0.2406928791218645,0.0062709753523664,-0.4998175338550858,-0.0834955163748824,-0.0,-0.9066151222531278,1.0,1.0,3.4183819414215533,0.2184947158448598,1.0,3.0,0.25,0.6666666666666666,1.8191410016190354e-05,2.0,0.0204081632653061,0
45,0x879994182ed70ff837ce60d8897f9498770cfc10739d967e573ff75b74fab55a,1,0xd748059df8b729ab3be29f8f5280c030bbd6d1cb,0xbb9bc244d798123fde783fcc1c72d3bb8c189413,2016-06-17 02:44:38+00:00,162842,20000000000,47842,47842,0.0,5,,46,63203,109943,0.5748706147731097,49,10,10,1.0,4,4,0x879994182ed70ff837ce60d8897f9498770cfc10739d967e573ff75b74fab55a,4,3,1,32162,48,289267,2,43,258445,2,0.0,0.0,1,0,-0.0725264215544584,0.5250736857323075,0.5219310321708726,0.552811671902438,-0.3526856846775553,-0.3958852189431668,-0.453124176922544,1.7489397026555689,-0.8835925749460977,-0.8415203255733681,-0.1484366310849028,0.5182972698909505,0.5183956157611965,0.4887407073869123,-0.6875984900327456,-0.0929439534412747,-0.0648485697917722,-0.4219650780517908,-0.4437581508882774,-0.2769934395714601,-0.0548545994538608,-0.4890695592815074,-0.0858986696407225,-0.1124976483161674,-0.5154452530814688,-0.1095296406671911,-0.0,-0.906198623881008,1.0,1.0,3.4184130340152974,0.218492885490272,0.0909090909090909,5.0,3.869280236490408e-05,0.4,3.6382489107992326e-05,1.3333333333333333,0.0612244897959183,0
