transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
0xd17e693a165c0ac9b1ab314835ab55637f2acf2f6e093556bf02835e8a8fbe82,3,0xd717b85b5da61a56afeb57173c7336084243cdf0,0xc446e0a1e22b54e18303022ff8c5c8ab364d6ebb,2023-12-16 11:40:35.000000 UTC,882947,33224137372,6449813,793763,1e+16,68,2,24,48,48,1.0,1,73,73,1.0,7,13,0xd17e693a165c0ac9b1ab314835ab55637f2acf2f6e093556bf02835e8a8fbe82,48,1,13,1,0,970,8,59,421223,7,4,4,3,3,0.0,-0.0924335455634218,-0.1008739732990641,-0.2461149592553933,-0.2458893939130183,-0.2456610216895485,-0.2679983970815174,0.2644753946967864,0.3658224093172603,-0.2461454864814603,0.0451319216010458,-0.2461829819586655,-0.2461220323900422,-0.2459337779775457,-0.2182159224565041,-0.2872267079172633,-0.28861515806734,0.2820380374088834,0.0535287727572187,0.2936101097573516,0.306186217847897,0.3061862178478978,-0.1122573176939472,-0.7509850713243919,0.1840016343848387,0.0800491042511253,3.1761712e-07,-0.2949022164929297,0.2307692307692307,1.0,48.0,0.0494335736354273,0.1166666666666666,9.125,0.0001733044650827,0.6575342465753424,1.0,48.0,1.0,0
0x997627437224c836ef520040bda6c183e2bc48dffe458f93040a0ad2cdf5b0de,3,0xd717b85b5da61a56afeb57173c7336084243cdf0,0xc446e0a1e22b54e18303022ff8c5c8ab364d6ebb,2023-12-16 12:00:23.000000 UTC,892747,38144874612,7044972,808363,1e+16,79,2,13,59,59,1.0,1,84,84,1.0,7,24,0x997627437224c836ef520040bda6c183e2bc48dffe458f93040a0ad2cdf5b0de,59,1,13,1,0,1069,8,59,421322,7,4,4,3,3,0.0,0.0650306802857702,0.0484971025476269,-0.2461149592553933,-0.1410528306167701,-0.1411532942304588,-0.2679983970815174,1.659311380426414,0.8724469689832502,-0.2461454864814603,0.0451319216010458,-0.2461829819586655,-0.2461220323900422,-0.2458518897150648,-0.2182159224565041,-0.2872267079172633,-0.2885288625315143,0.2820380374088834,0.0535287727572187,0.2936101097573516,0.306186217847897,0.3061862178478978,-0.0904356540872514,-0.5349412664288161,0.3610040947390499,0.1363605604469892,3.1761712e-07,-0.1236543230543505,0.2307692307692307,1.0,59.0,0.0551401869158878,0.1166666666666666,10.5,0.0001993719782684,0.7023809523809523,1.0,59.0,1.0,0
0x62a43b7e1df7d660ccd2666acbd720e145535304850855bc49d0f8d1188edbc1,1,0xcb158ff4667663a85f98833199d9d88e77acb466,0xebc54aede2cfbc683718c60e30395561d0d838cd,2023-12-16 17:30:59.000000 UTC,1000000,48988170522,6885064,161102,1e+16,453,2,2,1,1,1.0,1,705,707,0.9971711456859972,99,1,0x62a43b7e1df7d660ccd2666acbd720e145535304850855bc49d0f8d1188edbc1,1,1,5,1,0,0,78,342,2434679,6,2,3,1,2,-2.160246899469287,-0.7652352378281515,-0.7390958428258353,-0.2461149592553933,5.777447697289602,5.777784360952531,5.193741087744345,-1.257163862462807,-1.7988461638010604,-0.2461454864814603,-2.061024419781102,-0.2461829819586655,-0.2461220323900422,-0.2467361175190249,5.788851605840521,1.3942038724139971,1.4664582195227256,-1.1281521496355322,-1.8199782737454435,-1.7616606585441106,-3.2659863237109046,-3.265986323710904,0.14838464048509,-0.0588689236582774,0.3134468714922852,-2.360092141525002,3.1761712e-07,5.698774053857341,0.2,1.0,1.0,1.0,0.2886297376093295,9.064102564102564,0.0002895657745576,0.0014144271570014,1.0,1.0,1.0,0
0xe2cafbdea41bd2bfaf8a77c6ddfd0903743a95e247f17323f8bc0f1df09cb2f6,3,0xd717b85b5da61a56afeb57173c7336084243cdf0,0xc446e0a1e22b54e18303022ff8c5c8ab364d6ebb,2023-12-16 11:33:11.000000 UTC,882947,38247475844,3945574,793763,1e+16,64,2,28,44,44,1.0,1,68,68,1.0,7,9,0xe2cafbdea41bd2bfaf8a77c6ddfd0903743a95e247f17323f8bc0f1df09cb2f6,44,1,13,1,0,933,8,59,421186,7,4,4,3,3,0.0,-0.1496932640540371,-0.1551907281524064,-0.2461149592553933,-0.2935423772294947,-0.2931645341709529,-0.2679983970815174,-0.242737691023078,0.1815952967114457,-0.2461454864814603,0.0451319216010458,-0.2461829819586655,-0.2461220323900422,-0.2459643826817052,-0.2182159224565041,-0.2872267079172633,-0.2886474099342647,0.2820380374088834,0.0535287727572187,0.2936101097573516,0.306186217847897,0.3061862178478978,-0.1122573176939472,-0.5304365836003841,-0.5607681906786641,0.0800491042511253,3.1761712e-07,-0.3571741777433221,0.2307692307692307,1.0,44.0,0.0471092077087794,0.1166666666666666,8.5,0.0001614484777545,0.6470588235294118,1.0,44.0,1.0,0
0x5a7f9644db72303a388797a059588d2b7cf562e5391b48330267bee93cc03192,3,0xd717b85b5da61a56afeb57173c7336084243cdf0,0xc446e0a1e22b54e18303022ff8c5c8ab364d6ebb,2023-12-16 11:51:35.000000 UTC,882935,34848686212,1262669,793751,1e+16,74,2,18,54,54,1.0,1,79,79,1.0,7,19,0x5a7f9644db72303a388797a059588d2b7cf562e5391b48330267bee93cc03192,54,1,13,1,0,1025,8,59,421278,7,4,4,3,3,0.0,-0.0065439678274988,-0.0193988410190508,-0.2461149592553933,-0.1887058139332466,-0.1886568067118632,-0.2679983970815174,1.0252950232765832,0.6421630782259821,-0.2461454864814603,0.0451319216010458,-0.2461829819586655,-0.2461220323900422,-0.2458882844983896,-0.2182159224565041,-0.2872267079172633,-0.2885672161029924,0.2820380374088834,0.0535287727572187,0.2936101097573516,0.306186217847897,0.3061862178478978,-0.1122840380983636,-0.6796596386678223,-1.3586739367005083,0.0800028208624711,3.1761712e-07,-0.2014942746173411,0.2307692307692307,1.0,54.0,0.0526315789473684,0.1166666666666666,9.875,0.0001875241823114,0.6835443037974683,1.0,54.0,1.0,0
0x401cf2d2239479772a33f82bda29ffd7af78b70f26bd3ebcef6366b979b68534,3,0xd717b85b5da61a56afeb57173c7336084243cdf0,0xab8d41cec36499782ca81108f65ff083f2aaa590,2023-12-16 12:36:23.000000 UTC,867815,76990401565,5265915,803506,1e+16,92,2,10,1,1,1.0,1,97,97,1.0,7,1,0x401cf2d2239479772a33f82bda29ffd7af78b70f26bd3ebcef6366b979b68534,1,1,13,1,0,0,9,59,421499,7,4,4,3,3,0.0,-0.7652352378281515,-0.7390958428258353,-0.2461149592553933,-0.0171550739939314,-0.0176441617788073,-0.2679983970815174,-1.257163862462807,-1.7988461638010604,-0.2461454864814603,0.0451319216010458,-0.2461829819586655,-0.2461220323900422,-0.2467361175190249,-0.1324006720522609,-0.2872267079172633,-0.2883745765735229,0.2820380374088834,0.0535287727572187,0.2936101097573516,0.306186217847897,0.3061862178478978,-0.14595174766298,1.1705624084838806,-0.1680939548752242,0.1176273588892281,3.1761712e-07,0.0787295510094248,0.2307692307692307,1.0,1.0,1.0,0.1166666666666666,10.77777777777778,0.0002301304863582,0.0103092783505154,1.0,1.0,1.0,0
0x0ef4b564f895c1e55a61ea22658bb18f5a11ee91e648e373a878bfdbc95380ce,6,0xd717b85b5da61a56afeb57173c7336084243cdf0,0xab8d41cec36499782ca81108f65ff083f2aaa590,2023-12-16 12:42:23.000000 UTC,2583989,86720864196,4203024,1461472,2e+16,95,2,7,4,4,1.0,1,100,100,1.0,7,4,0x0ef4b564f895c1e55a61ea22658bb18f5a11ee91e648e373a878bfdbc95380ce,4,1,24,1,0,30,9,59,421529,7,7,4,3,3,3.24037034920393,-0.72229044896019,-0.6983582766858286,-0.2461149592553933,0.0114367159959543,0.0108579457100352,-0.2679983970815174,-0.8767540481729087,-1.6606758293466994,-0.2461454864814603,2.941096891001499,-0.2461829819586655,-0.2461220323900422,-0.2467113028940307,-0.1324006720522609,-0.2872267079172633,-0.2883484264111515,0.2820380374088834,2.863789342511212,0.2936101097573516,0.306186217847897,0.3061862178478978,3.675453529740855,1.5977760692961076,-0.4842016203702395,2.655368700489761,2.9580402,0.1254335219472191,0.25,1.0,4.0,0.1290322580645161,0.1166666666666666,11.11111111111111,0.0002372310393091,0.04,1.0,4.0,1.0,0
0xa898044c1d8f2190c4d5df64779d4a2081528f85f9620bb6f3df961d8f174d00,3,0xd717b85b5da61a56afeb57173c7336084243cdf0,0xc446e0a1e22b54e18303022ff8c5c8ab364d6ebb,2023-12-16 11:59:35.000000 UTC,882947,34478484574,1091931,793763,1e+16,78,2,14,58,58,1.0,1,83,83,1.0,7,23,0xa898044c1d8f2190c4d5df64779d4a2081528f85f9620bb6f3df961d8f174d00,58,1,13,1,0,1065,8,59,421318,7,4,4,3,3,0.0,0.0507157506631164,0.0349179138342914,-0.2461149592553933,-0.1505834272800654,-0.1506539967267397,-0.2679983970815174,1.5325081089964476,0.8263901908317965,-0.2461454864814603,0.0451319216010458,-0.2461829819586655,-0.2461220323900422,-0.2458551983317307,-0.2182159224565041,-0.2872267079172633,-0.2885323492198305,0.2820380374088834,0.0535287727572187,0.2936101097573516,0.306186217847897,0.3061862178478978,-0.1122573176939472,-0.6959132540411346,-1.4094520415026828,0.0800491042511253,3.1761712e-07,-0.1392223133669486,0.2307692307692307,1.0,58.0,0.0544090056285178,0.1166666666666666,10.375,0.0001970003726392,0.6987951807228916,1.0,58.0,1.0,0
0x47f4010b4eaa10962417ec37588b4f2f4f9b85be85cf34de5d682f9647f386e7,3,0xd717b85b5da61a56afeb57173c7336084243cdf0,0xc446e0a1e22b54e18303022ff8c5c8ab364d6ebb,2023-12-16 11:31:47.000000 UTC,882947,40913720791,4200510,793763,1e+16,63,2,29,43,43,1.0,1,67,67,1.0,7,8,0x47f4010b4eaa10962417ec37588b4f2f4f9b85be85cf34de5d682f9647f386e7,43,1,13,1,0,926,8,59,421179,7,4,4,3,3,0.0,-0.1640081936766909,-0.1687699168657419,-0.2461149592553933,-0.30307297389279,-0.3026652366672338,-0.2679983970815174,-0.3695409624530442,0.1355385185599921,-0.2461454864814603,0.0451319216010458,-0.2461829819586655,-0.2461220323900422,-0.2459701727608705,-0.2182159224565041,-0.2872267079172633,-0.288653511638818,0.2820380374088834,0.0535287727572187,0.2936101097573516,0.306186217847897,0.3061862178478978,-0.1122573176939472,-0.4133757297000684,-0.4849492931523541,0.0800491042511253,3.1761712e-07,-0.3727421680559202,0.2307692307692307,1.0,43.0,0.0463861920172599,0.1166666666666666,8.375,0.000159076879244,0.6417910447761194,1.0,43.0,1.0,0
0x71839f3bf849d8a2cb8870db142dc31f44898480057c7863a5cf0f3546d148c9,3,0xd717b85b5da61a56afeb57173c7336084243cdf0,0xc446e0a1e22b54e18303022ff8c5c8ab364d6ebb,2023-12-16 11:46:35.000000 UTC,882935,35333640375,1936943,793751,1e+16,72,2,20,52,52,1.0,1,77,77,1.0,7,17,0x71839f3bf849d8a2cb8870db142dc31f44898480057c7863a5cf0f3546d148c9,52,1,13,1,0,1000,8,59,421253,7,4,4,3,3,0.0,-0.0351738270728065,-0.0465572184457219,-0.2461149592553933,-0.2077670072598371,-0.207658211704425,-0.2679983970815174,0.771688480416651,0.5500495219230748,-0.2461454864814603,0.0451319216010458,-0.2461829819586655,-0.2461220323900422,-0.2459089633525515,-0.2182159224565041,-0.2872267079172633,-0.2885890079049685,0.2820380374088834,0.0535287727572187,0.2936101097573516,0.306186217847897,0.3061862178478978,-0.1122840380983636,-0.6583678408203784,-1.1581423863872722,0.0800028208624711,3.1761712e-07,-0.2326302552425373,0.2307692307692307,1.0,52.0,0.0519480519480519,0.1166666666666666,9.625,0.0001827875818389,0.6753246753246753,1.0,52.0,1.0,0
0x4fdbaf7999cae1cf714267a255e6110a54c288cbe4289beac7f852775cd5da77,3,0xd717b85b5da61a56afeb57173c7336084243cdf0,0xc446e0a1e22b54e18303022ff8c5c8ab364d6ebb,2023-12-16 11:44:47.000000 UTC,882947,38446559180,3319300,793763,1e+16,71,2,21,51,51,1.0,1,76,76,1.0,7,16,0x4fdbaf7999cae1cf714267a255e6110a54c288cbe4289beac7f852775cd5da77,51,1,13,1,0,991,8,59,421244,7,4,4,3,3,0.0,-0.0494887566954603,-0.0601364071590574,-0.2461149592553933,-0.2172976039231324,-0.2171589142007059,-0.2679983970815174,0.6448852089866848,0.5039927437716212,-0.2461454864814603,0.0451319216010458,-0.2461829819586655,-0.2461220323900422,-0.2459164077400497,-0.2182159224565041,-0.2872267079172633,-0.28859685295368,0.2820380374088834,0.0535287727572187,0.2936101097573516,0.306186217847897,0.3061862178478978,-0.1122573176939472,-0.5216958768113452,-0.7470243656770649,0.0800491042511253,3.1761712e-07,-0.2481982455551354,0.2307692307692307,1.0,51.0,0.0514112903225806,0.1166666666666666,9.5,0.0001804175717219,0.6710526315789473,1.0,51.0,1.0,0
0x1aaff86a9b42ced2b4714595452b833aeca171bab5578be33e27504f52a28005,3,0xd717b85b5da61a56afeb57173c7336084243cdf0,0xc446e0a1e22b54e18303022ff8c5c8ab364d6ebb,2023-12-16 11:43:47.000000 UTC,882947,34222261759,6067117,793763,1e+16,70,2,22,50,50,1.0,1,75,75,1.0,7,15,0x1aaff86a9b42ced2b4714595452b833aeca171bab5578be33e27504f52a28005,50,1,13,1,0,986,8,59,421239,7,4,4,3,3,0.0,-0.0638036863181141,-0.073715595872393,-0.2461149592553933,-0.2268282005864277,-0.2266596166969867,-0.2679983970815174,0.5180819375567187,0.4579359656201675,-0.2461454864814603,0.0451319216010458,-0.2461829819586655,-0.2461220323900422,-0.2459205435108821,-0.2182159224565041,-0.2872267079172633,-0.2886012113140752,0.2820380374088834,0.0535287727572187,0.2936101097573516,0.306186217847897,0.3061862178478978,-0.1122573176939472,-0.7071626561436649,0.070186446228875,0.0800491042511253,3.1761712e-07,-0.2637662358677335,0.2307692307692307,1.0,50.0,0.0506585612968591,0.1166666666666666,9.375,0.0001780457696325,0.6666666666666666,1.0,50.0,1.0,0
0x6827912eb871d2eba28437cc0a925f9c3c2372784c5fc452ef3b199a39c22504,3,0xd717b85b5da61a56afeb57173c7336084243cdf0,0xab8d41cec36499782ca81108f65ff083f2aaa590,2023-12-16 12:37:35.000000 UTC,850715,80427416842,16151346,786406,1e+16,93,2,9,2,2,1.0,1,98,98,1.0,7,2,0x6827912eb871d2eba28437cc0a925f9c3c2372784c5fc452ef3b199a39c22504,2,1,13,1,0,6,9,59,421505,7,4,4,3,3,0.0,-0.7509203082054977,-0.7255166541124998,-0.2461149592553933,-0.0076244773306362,-0.0081434592825265,-0.2679983970815174,-1.130360591032841,-1.7527893856496066,-0.2461454864814603,0.0451319216010458,-0.2461829819586655,-0.2461220323900422,-0.2467311545940261,-0.1324006720522609,-0.2872267079172633,-0.2883693465410487,0.2820380374088834,0.0535287727572187,0.2936101097573516,0.306186217847897,0.3061862178478978,-0.1840283239562961,1.321463751455671,3.069272982390281,0.0516735300570862,3.1761712e-07,0.0942975413220229,0.2307692307692307,1.0,2.0,0.2857142857142857,0.1166666666666666,10.88888888888889,0.0002324996559954,0.0204081632653061,1.0,2.0,1.0,0
0x4fa2a0b891e03f3747043ef0471ca868bfb699573d48e3255fcc0ade849d6003,1,0xb9fac86b6585190ff36975e1e1a206c3aa24c77f,0x83db44123e76503203fdf83d2be58be60c15b894,2024-01-18 09:24:11.000000 UTC,63569,38166438369,5242900,58287,0.0,111,2,1,343,360,0.9527777777777776,113,119,119,1.0,41,2,0x4fa2a0b891e03f3747043ef0471ca868bfb699573d48e3255fcc0ade849d6003,85,31,3,3,780,5324863,14,780,5324692,4,1,2,1,2,-2.160246899469287,4.130470693119456,4.135832905261629,4.159230430156214,0.1925180525985647,0.191371293139372,1.7504705429628231,-1.130360591032841,2.0699232009210444,4.134409781408936,-2.587563505126639,4.06201920231798,4.154095049632324,4.157746498831179,0.2966755799689551,3.9965593288984222,3.98560185970617,-3.948532523724364,-2.7567317969967746,-3.816931426845573,-3.2659863237109046,-3.265986323710904,-1.936766611849784,-0.5339945147769999,-0.1749386999350354,-2.756644358564573,-2.9580395,0.3745213669487888,0.3333333333333333,0.1446862996158771,120.0,6.441479068761193e-05,0.0524967989756722,8.5,2.2348706301001765e-05,0.7142857142857143,0.2361111111111111,2.7419354838709675,0.2743362831858407,0
0xa3be7d57d3391fa969ff57276e1c86a13d09c13afc952ce6587ac9d7d9a0fbc4,3,0xd717b85b5da61a56afeb57173c7336084243cdf0,0xc446e0a1e22b54e18303022ff8c5c8ab364d6ebb,2023-12-16 11:54:11.000000 UTC,882947,34025154298,4964903,793763,1e+16,76,2,16,56,56,1.0,1,81,81,1.0,7,21,0xa3be7d57d3391fa969ff57276e1c86a13d09c13afc952ce6587ac9d7d9a0fbc4,56,1,13,1,0,1038,8,59,421291,7,4,4,3,3,0.0,0.0220858914178087,0.0077595364076202,-0.2461149592553933,-0.169644620606656,-0.1696554017193015,-0.2679983970815174,1.2789015661365155,0.7342766345288894,-0.2461454864814603,0.0451319216010458,-0.2461829819586655,-0.2461220323900422,-0.2458775314942255,-0.2182159224565041,-0.2872267079172633,-0.2885558843659647,0.2820380374088834,0.0535287727572187,0.2936101097573516,0.306186217847897,0.3061862178478978,-0.1122573176939472,-0.715816612608072,-0.2576160230891667,0.0800491042511253,3.1761712e-07,-0.1703582939921448,0.2307692307692307,1.0,56.0,0.053897978825794,0.1166666666666666,10.125,0.0001922656969512,0.691358024691358,1.0,56.0,1.0,0
