index,transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,lb_block_timestamp,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,sender_lifetime_days,sender_lifetime_block,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
49,0xa64dc66815c127125c5813cc31c95f160bc773d9e0f0b5bec766c2a7da1fa321,1,0x391473f3e818e4b81ab0d1c58b7f5e827b780a86,0x46161158b1947d9149e066d6d31af1283b2d377c,2022-10-20 01:02:59+00:00,187534,39584719249,16930578,182963,0.0,238,2,50,2021-10-20T00:00:00,4,4,1.0,3,247,248,0.995967741935484,35,1,0xa64dc66815c127125c5813cc31c95f160bc773d9e0f0b5bec766c2a7da1fa321,1,1,26,3,3,21274,39,148,946212,9,5,4,1,5,-0.3886962194999266,-0.6188369856268453,-0.6188369856268453,-0.5818486916079758,-0.5299702860293584,-0.5418965865947284,-0.6137735893113772,-1.381884408977108,-0.5875418959121594,-0.5464307572219582,-0.3517824471584811,-0.7012494219947709,-0.7057615139379293,-0.7075474486025861,-0.4142551304682164,-0.1955521967020019,-0.2066828502929497,-0.4217404735605062,-0.3848715345266611,-0.0846288436748181,-0.3172206342872574,0.9614444456192744,-0.5494771203459874,0.3650881273702597,1.405158060205938,-0.4343661256942687,0.0,-0.5541747560913304,0.0384615384615384,0.75,1.3333333333333333,0.0001880141010575,0.2348993288590604,6.358974358974359,0.0002610405902265,0.0040322580645161,0.25,1.0,0.3333333333333333,0
48,0xa96d4a93d16040ef3d86eae6ba40b24de23954158f2838f832e51c2966a2f476,1,0x391473f3e818e4b81ab0d1c58b7f5e827b780a86,0x46161158b1947d9149e066d6d31af1283b2d377c,2022-10-20 01:04:35+00:00,57631,33042999336,6989873,52697,0.0,239,2,49,2021-10-20T00:00:00,5,5,1.0,3,248,249,0.9959839357429718,35,2,0xa96d4a93d16040ef3d86eae6ba40b24de23954158f2838f832e51c2966a2f476,2,1,2,3,3,21282,39,148,946220,3,2,1,1,1,-0.3886962194999266,-0.605976699142497,-0.605976699142497,-0.5818486916079758,-0.5273688218332591,-0.5394905099292692,-0.6137735893113772,-1.116137407250741,-0.5175964321130928,-0.5464307572219582,-0.5129041786814496,-0.7012494219947709,-0.7057615139379293,-0.7073968409016521,-0.4142551304682164,-0.1955521967020019,-0.2066728440936122,-1.7127827395620554,-0.5658456103228967,-1.671419662577657,-0.3172206342872574,-1.6370540560544402,-0.8545981512729572,0.115388221875447,-0.2792816270492859,-0.7506960264572178,0.0,-0.5517132887550448,0.5,0.75,1.6666666666666667,0.0002349292862848,0.2348993288590604,6.384615384615385,0.0002620952187702,0.0080321285140562,0.4,2.0,0.3333333333333333,0
46,0xa7a6c4df1314087db7b11091c8925eb4f3ab947b247d0bb32a1a92d4bd47c9cd,1,0x05b0e0b39309bd0ffe8700cd91dee76ebb1394ee,0x46161158b1947d9149e066d6d31af1283b2d377c,2022-10-20 01:18:35+00:00,57631,20201676724,9746652,52697,0.0,369,2,47,2021-10-20T00:00:00,6,6,1.0,3,328,332,0.9879518072289156,75,3,0xa7a6c4df1314087db7b11091c8925eb4f3ab947b247d0bb32a1a92d4bd47c9cd,2,2,2,3,3,21352,45,334,2133924,3,2,1,1,1,-0.3886962194999266,-0.5931164126581485,-0.5931164126581485,-0.5818486916079758,-0.3192516861453115,-0.3397861466961528,-0.0253041844107279,-0.8503904055243742,-0.5175964321130928,-0.3362650813673589,-0.5129041786814496,-0.7012494219947709,-0.7057615139379293,-0.7060790235184802,-0.3221301941150178,1.283013192996062,1.2788775281583125,-1.7127827395620554,-0.5658456103228967,-1.671419662577657,-0.3172206342872574,-1.6370540560544402,-0.8545981512729572,-0.3747698841407925,0.1878510317100041,-0.7506960264572178,0.0,-0.2317225350379223,0.5,0.75,2.0,0.0002809909614574,0.2238805970149253,7.377777777777778,0.0001537073702215,0.0060240963855421,0.3333333333333333,1.0,0.6666666666666666,0
44,0x8707831b6c18a1b1ec638fba33fb7d78d4efa04c7dc7ea72b5287dee97c03883,1,0x11d67fa925877813b744abc0917900c2b1d6eb81,0x46161158b1947d9149e066d6d31af1283b2d377c,2022-10-20 02:00:23+00:00,187534,19388784326,14713377,182963,0.0,940,2,45,2021-10-20T00:00:00,7,7,1.0,3,925,977,0.946775844421699,186,4,0x8707831b6c18a1b1ec638fba33fb7d78d4efa04c7dc7ea72b5287dee97c03883,1,1,26,4,3,21560,184,284,1817515,9,5,4,1,5,-0.3886962194999266,-0.5802561261738002,-0.5802561261738002,-0.5818486916079758,1.2338224389259966,1.212133302525052,1.6076984141885735,-0.5846434037980073,-0.5875418959121594,-0.5464307572219582,-0.3517824471584811,-0.6471406702976435,-0.7057615139379293,-0.7021632232941979,1.812097498067416,0.8855493785610986,0.883121087383625,-0.4217404735605062,-0.3848715345266611,-0.0846288436748181,-0.3172206342872574,0.9614444456192744,-0.5494771203459874,-0.4057982922135201,1.0294562001243874,-0.4343661256942687,0.0,1.1737753139811309,0.0384615384615384,0.75,1.75,0.0003246602662214,0.6526315789473685,5.309782608695652,0.0005089363724996,0.0010235414534288,0.1428571428571428,1.0,0.3333333333333333,0
43,0x0d7ec42a41ca718b81a9830382495c1b738e95b562b24ca97ef691d3175832c5,1,0x11d67fa925877813b744abc0917900c2b1d6eb81,0x46161158b1947d9149e066d6d31af1283b2d377c,2022-10-20 02:02:59+00:00,57631,19229564986,5102108,52697,0.0,941,2,44,2021-10-20T00:00:00,8,8,1.0,3,926,978,0.9468302658486708,186,5,0x0d7ec42a41ca718b81a9830382495c1b738e95b562b24ca97ef691d3175832c5,2,1,2,4,3,21572,184,284,1817527,3,2,1,1,1,-0.3886962194999266,-0.5673958396894517,-0.5673958396894517,-0.5818486916079758,1.236423903122096,1.2145393791905112,1.6076984141885735,-0.3188964020716403,-0.5175964321130928,-0.5464307572219582,-0.5129041786814496,-0.6471406702976435,-0.7057615139379293,-0.7019373117427969,1.812097498067416,0.8855493785610986,0.8831360966826314,-1.7127827395620554,-0.5658456103228967,-1.671419662577657,-0.3172206342872574,-1.6370540560544402,-0.8545981512729572,-0.4118757542081768,-0.5991609802954951,-0.7506960264572178,0.0,1.1762367813174164,0.5,0.75,2.0,0.0003708339127613,0.6526315789473685,5.315217391304348,0.0005094832101623,0.0020449897750511,0.25,2.0,0.3333333333333333,0
38,0x1a848c5ec11515d78abfe39d79ada2fa63af1c48073b3ad9d67a9934d14dc471,1,0x05b0e0b39309bd0ffe8700cd91dee76ebb1394ee,0x46161158b1947d9149e066d6d31af1283b2d377c,2022-10-20 03:33:35+00:00,183119,17122825655,13130726,173716,0.0,374,2,39,2021-10-20T00:00:00,9,9,1.0,3,333,337,0.9881305637982196,75,6,0x1a848c5ec11515d78abfe39d79ada2fa63af1c48073b3ad9d67a9934d14dc471,3,2,22,4,3,22019,47,334,2134591,13,5,4,1,7,-0.3886962194999266,-0.5545355532051033,-0.5545355532051033,-0.5818486916079758,-0.3062443651648148,-0.3277557633688567,-0.0253041844107279,-0.0531494003452734,-0.4476509683140262,-0.3362650813673589,-0.3786360690789758,-0.6471406702976435,-0.7057615139379293,-0.6935221064531133,-0.2914218819972849,1.283013192996062,1.2797117950280812,0.4389543704405265,-0.3848715345266611,-0.0846288436748181,-0.3172206342872574,2.260693696456132,-0.559847237676169,-0.4922907855529932,0.7612780220701983,-0.4568209688026391,0.0,-0.2194151983564945,0.0454545454545454,0.75,2.25,0.000408719346049,0.2238805970149253,7.170212765957447,0.0001560017089916,0.0089020771513353,0.3333333333333333,1.5,0.6666666666666666,0
34,0xe2d56644a4d766123833d8519e31e0b5e0d197d689f1c0e5ad7cd0532186ea3d,1,0x1b04d574d4a3d57fb724848937a926aa21c59271,0x46161158b1947d9149e066d6d31af1283b2d377c,2022-10-21 07:39:59+00:00,562602,29679472319,680430,182963,0.0,71,0,35,2021-10-21T00:00:00,10,10,1.0,4,94,94,1.0,22,7,0xe2d56644a4d766123833d8519e31e0b5e0d197d689f1c0e5ad7cd0532186ea3d,1,1,26,5,4,30417,17,94,622564,9,5,4,1,5,-0.3886962194999266,-0.5416752667207549,-0.5416752667207549,-0.4483971568355043,-0.927994308032558,-0.9124323930754502,-0.8050261459040882,0.2125976013810935,-0.5875418959121594,-0.5464307572219582,-0.3517824471584811,-0.5930319186005162,-0.5689860267406561,-0.5354216723977137,-0.7520465637632778,-0.6248131162917625,-0.6114936506932102,-0.4217404735605062,-0.3848715345266611,-0.0846288436748181,-0.3172206342872574,0.9614444456192744,0.3314966433678352,-0.0129988673677222,-1.3484086350104578,-0.4343661256942687,0.0,-0.9652398012510184,0.0384615384615384,0.8,2.0,0.0003287527122098,0.231578947368421,5.529411764705882,0.0001509882502228,0.0106382978723404,0.1,1.0,0.25,0
33,0x493578d1169f1a6241e51f0a778b4033baa089b78b2fbb22c92c2849f60d8e35,1,0x1b04d574d4a3d57fb724848937a926aa21c59271,0x46161158b1947d9149e066d6d31af1283b2d377c,2022-10-21 07:44:23+00:00,172893,27608516869,537947,52697,0.0,72,0,34,2021-10-21T00:00:00,11,11,1.0,4,95,95,1.0,22,8,0x493578d1169f1a6241e51f0a778b4033baa089b78b2fbb22c92c2849f60d8e35,2,1,2,5,4,30438,17,94,622585,3,2,1,1,1,-0.3886962194999266,-0.5288149802364065,-0.5288149802364065,-0.4483971568355043,-0.9253928438364586,-0.910026316409991,-0.8050261459040882,0.4783446031074604,-0.5175964321130928,-0.5464307572219582,-0.5129041786814496,-0.5930319186005162,-0.5689860267406561,-0.535026327182762,-0.7520465637632778,-0.6248131162917625,-0.6114673844199491,-1.7127827395620554,-0.5658456103228967,-1.671419662577657,-0.3172206342872574,-1.6370540560544402,-0.5838664494130741,-0.0920480145379225,-1.3725521962527627,-0.7506960264572178,0.0,-0.9627783339147328,0.5,0.8,2.2,0.0003613784946943,0.231578947368421,5.588235294117647,0.0001525893611484,0.0210526315789473,0.1818181818181818,2.0,0.25,0
29,0x688a436916e8eaac4b86549cd630a8731c649091d4f0076fadd13401f7fa3116,1,0xd178f2d93b92ac47cf51a899463eca8acc37a8d5,0x46161158b1947d9149e066d6d31af1283b2d377c,2022-10-23 13:38:59+00:00,57631,25161939467,6761453,52697,0.0,1134,2,30,2021-10-23T00:00:00,12,12,1.0,5,1052,1146,0.9179755671902268,140,9,0x688a436916e8eaac4b86549cd630a8731c649091d4f0076fadd13401f7fa3116,1,1,2,6,6,46533,72,325,2083598,3,2,1,1,1,-0.3886962194999266,-0.515954693752058,-0.515954693752058,-0.3149456220630328,1.564208391830613,1.6187602589876624,0.930958598552827,0.7440916048338273,-0.5875418959121594,-0.5464307572219582,-0.5129041786814496,-0.5389231669033888,-0.2954350523461099,-0.2320224588662989,0.0924320194743758,1.2114697063977686,1.2159310296755672,-1.7127827395620554,-0.5658456103228967,-1.671419662577657,-0.3172206342872574,-1.6370540560544402,-0.8545981512729572,-0.1854347926619929,-0.3179871025022682,-0.7506960264572178,0.0,1.651299977220529,0.5,0.7142857142857143,2.0,0.0002578759616624,0.4294478527607362,15.916666666666666,0.000504895615711,0.0008726003490401,0.0833333333333333,1.0,0.2,0
26,0xd8a390c00105092cd74ff4709dc7b0ed03e7c9c056e76654ffda3d93469317eb,1,0xd178f2d93b92ac47cf51a899463eca8acc37a8d5,0x46161158b1947d9149e066d6d31af1283b2d377c,2022-10-23 13:43:47+00:00,183107,19405991784,8915143,173704,0.0,1137,2,27,2021-10-23T00:00:00,13,13,1.0,5,1055,1149,0.918189730200174,140,10,0xd8a390c00105092cd74ff4709dc7b0ed03e7c9c056e76654ffda3d93469317eb,2,1,22,6,6,46557,73,325,2083622,13,5,4,1,7,-0.3886962194999266,-0.5030944072677097,-0.5030944072677097,-0.3149456220630328,1.5720127844189111,1.62597848898404,0.930958598552827,1.0098386065601943,-0.5175964321130928,-0.5464307572219582,-0.3786360690789758,-0.5389231669033888,-0.2954350523461099,-0.2315706357634971,0.1077861755332422,1.2114697063977686,1.21596104827358,0.4389543704405265,-0.3848715345266611,-0.0846288436748181,-0.3172206342872574,2.260693696456132,-0.5598754237255376,-0.4051414770802602,0.0469529002485128,-0.4568501088607445,0.0,1.6586843792293855,0.0454545454545454,0.7142857142857143,2.1666666666666665,0.0002792216160487,0.4294478527607362,15.73972602739726,0.0005063295999324,0.0017406440382941,0.1538461538461538,2.0,0.2,0
