transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,z_trace_involved_amt,z_contract_block_involved,z_contract_tx_count,z_contract_main_active_days,z_sender_block_involved,z_sender_tx_count,z_sender_main_active_days,z_contract_interact,z_sender_tx_count_call_contract,z_sender_days_call_contract,z_trace_amt,z_distinct_sender_in_contract,z_contract_lifetime_days,z_contract_lifetime_block,z_distinct_contract_sender_called,z_sender_lifetime_days,z_sender_lifetime_block,z_contract_involved_amt,z_max_breadth,z_depth,z_distinct_was_called_in_sample,z_distinct_sender_call_in_sample,z_gas,z_gas_price,z_receipt_cumulative_gas_used,z_receipt_gas_used,z_value,z_nonce,involved_trace_ratio,contract_active_day_ratio,tx_count_per_distinct_caller,contract_block_ratio,sender_active_day_ratio,sender_tx_count_per_contract,sender_block_ratio,tx_sender_call_contract,sender_call_contract_tx_ratio,sender_tx_count_call_contract_per_days,sender_call_contract_day_ratio,is_sus
0x3678d531ac7f2a872a71022a78d681aa65515e9ec9b964e98436d5fba1948175,8,0x0776cb44c0f19cd3724decd604532a6a3d82b2a9,0xf3de3c0d654fda23dad170f0f320a92172509127,2024-10-16 12:51:59.000000 UTC,396279,20829420887,2956502,280628,0.0,83,2,811,1418349,2912506,0.486985777883376,349,100,100,1.0,20,64,458923,60,0x3678d531ac7f2a872a71022a78d681aa65515e9ec9b964e98436d5fba1948175,55,19,27,273759,366,2616295,21,10,7.0,4.0,2,5,2.728351404941192,0.1070747625221493,-0.3162142114383487,0.2077110760026348,-0.2840716706378569,-0.2670371832251412,-0.3817652092255563,-0.4376648941907081,-0.2943416696244197,-0.2038036353331446,0.6112188386816203,-0.2922960111695215,0.2415950453222518,0.2607071149517889,-0.0981863583982108,-0.535372540837884,-0.5465253240059946,1.1210496806699202,0.3391437536903645,1.286256758328489,0.9346764918409064,0.8432143063925506,0.504384103169075,-0.0168983364384242,-0.6862069751377385,0.7292908821113745,-0.29300323,-0.279057375993849,0.2962962962962963,0.9509536784741144,10.638941550780066,0.5421209985414495,0.3076923076923077,4.761904761904762,0.0002179010032162,0.55,1.888408126884545e-05,2.8947368421052637,0.0544412607449856,0
0xec2aaaecb620a37e60f3dfc712d4d748e967a49a1adf6d0a9d267563c35676f7,8,0x2176181f8ba9876f013a209ea335e9ca8a546aac,0xf3de3c0d654fda23dad170f0f320a92172509127,2024-10-16 08:38:35.000000 UTC,465993,12335893137,3689617,353421,0.0,42,2,906,1417199,2909004,0.4871767106542308,349,45,45,1.0,8,8,56395,29,0xec2aaaecb620a37e60f3dfc712d4d748e967a49a1adf6d0a9d267563c35676f7,27,5,27,273494,366,2615037,16,10,7.0,4.0,2,5,2.728351404941192,0.1064156801134453,-0.3164223494159345,0.2077110760026348,-0.2841766923858559,-0.2670831174447114,-0.4245152746471299,-0.786949512662337,-0.294599310708131,-0.4257083557145434,0.6112188386816203,-0.2925327843301908,0.2415950453222518,0.2601008400375555,-0.0982293989597123,-0.672560866378163,-0.6915895575198346,1.1210496806699202,0.3391437536903645,1.286256758328489,0.9346764918409064,0.8432143063925506,0.7481420456761991,-0.4983454276716234,-0.538531489666023,1.141497153693932,-0.29300323,-0.2790954103352974,0.2962962962962963,0.9509536784741144,10.63644540648058,0.5419420291406856,0.8888888888888888,2.8125,0.0007979289311298,0.6,9.281527285627658e-06,5.4,0.0143266475644699,0
0x62f472f9cfa5b13d80f38897300553c10aea337d789a1b8e31cbc8094d14588f,6,0x2baf976d2e18324734ae7afe8e30f278d9df9324,0xf3de3c0d654fda23dad170f0f320a92172509127,2024-10-16 08:13:47.000000 UTC,543518,12317339405,2684316,390940,0.0,209,2,947,1417078,2908519,0.4872163461885585,349,213,215,0.9906976744186048,76,866,6082154,20,0x62f472f9cfa5b13d80f38897300553c10aea337d789a1b8e31cbc8094d14588f,72,24,34,273467,366,2614913,85,12,10.0,4.0,1,5,1.6560969718733232,0.1063463331817468,-0.3164511749211113,0.2077110760026348,-0.2838558986828771,-0.266941138947858,-0.1822649039248792,-0.888354724476681,-0.2941852446807378,-0.1245519494826451,0.8973891196508761,-0.2925569083880703,0.2415950453222518,0.2600410800301112,-0.0976354392109921,1.4293602642211125,1.4799913279691823,1.6175287243678478,1.0261331264595028,1.286256758328489,-0.6102433293837323,0.8432143063925506,1.019211479260053,-0.4993971273382219,-0.7410349348556604,1.3539566910602443,-0.29300323,-0.2789404899689099,0.1764705882352941,0.9509536784741144,10.635722043244709,0.5419214551606668,0.0876585928489042,2.5294117647058822,3.502048204953672e-05,0.3348837209302325,2.475486665206588e-05,3.0,0.0687679083094555,0
0xaec73ac4c62b020e654719f5e7ed10ca3a31a696cc4cfdf70efd7f4ace25124d,8,0xbab85e0d38a5325022437eeeb3860dea048452b9,0xf3de3c0d654fda23dad170f0f320a92172509127,2024-10-16 16:00:11.000000 UTC,373799,24795616288,4175307,278652,0.0,654,2,760,1419207,2914969,0.4868686425138655,349,706,708,0.9971751412429378,27,82,587635,80,0xaec73ac4c62b020e654719f5e7ed10ca3a31a696cc4cfdf70efd7f4ace25124d,544,26,27,273932,366,2617232,48,10,7.0,4.0,2,5,2.728351404941192,0.1075664953105563,-0.3160678254192758,0.2077110760026348,-0.2829145219235406,-0.2665294013069829,-0.3568276710629716,-0.2123199790477217,-0.2898421521267463,-0.0928512751424452,0.6112188386816203,-0.2921414385023677,0.2415950453222518,0.2611586885564285,-0.0979539393661029,-0.4912762933427943,-0.5001397120137026,1.1210496806699202,0.3391437536903645,1.286256758328489,0.9346764918409064,0.8432143063925506,0.4257818346496936,0.2079214669788238,-0.4406962161567408,0.7181013502518944,-0.29300323,-0.278527678214165,0.2962962962962963,0.9509536784741144,10.641213877896703,0.542254740025057,0.3253012048192771,14.75,0.0012014240107821,0.768361581920904,0.0001866229109126,20.923076923076923,0.0744985673352435,0
0xef869d55c00f2ffa6e8093123e511c27f89fed95d6d2897fc3918b1a501988d8,3,0x5156e9c92d4edf376e1cd4c03af14e0209d750a7,0xf3de3c0d654fda23dad170f0f320a92172509127,2024-10-16 22:51:35.000000 UTC,219112,11085721844,5352894,158175,0.0,2,2,717,1420662,2917855,0.4868857431229447,349,5,5,1.0,3,171,1227509,89,0xef869d55c00f2ffa6e8093123e511c27f89fed95d6d2897fc3918b1a501988d8,1,1,14,274095,366,2619275,3,7,7.0,3.0,2,5,0.0477153222715201,0.1084003778363514,-0.3158962988049661,0.2077110760026348,-0.2842530718389461,-0.2671165241498534,-0.442327801906119,-0.1109147672333778,-0.2948385488572916,-0.489109704394943,0.0797597454530025,-0.2919958006714654,0.2415950453222518,0.2621432828726279,-0.0983413044196161,-0.2732448473948508,-0.2695400236555389,0.376331115123029,0.3391437536903645,0.6366321329100602,0.9346764918409064,0.8432143063925506,-0.1150877877016203,-0.5692101319822789,-0.2034882311746016,0.0358740072181991,-0.29300323,-0.2791325170098812,0.2142857142857142,0.9509536784741144,10.64541491088856,0.5423872856468734,0.0174418604651162,1.6666666666666667,4.073286572003487e-06,0.2,3.427175099516597e-07,1.0,0.0028653295128939,0
0xde4bab6de5928329975ac7ebd5edc1d89a62896e45ac88e88bfd1319ff41e573,3,0x5ccf8b8e436d5f667814f178d03fc126900d2a49,0x77edae6a5f332605720688c7fda7476476e8f83f,2024-10-16 06:01:23.000000 UTC,322767,16454285854,1775511,212271,0.0,28,0,984,545864,633965,0.8610317604284148,523,30,31,0.967741935483871,3,2,12977,3,0xde4bab6de5928329975ac7ebd5edc1d89a62896e45ac88e88bfd1319ff41e573,18,3,24,28785,522,3726681,12,9,12.0,4.0,2,8,0.0477153222715201,-0.3929595986588437,-0.4516370885331901,0.788254441587061,-0.2842053346807647,-0.2670948097915112,-0.442327801906119,-1.0798979023482194,-0.2946821239136097,-0.4574090300547432,0.4885744325519393,-0.5111762687611636,0.7595548478382114,0.7958415958070801,-0.0982638314089134,-0.6872596155431929,-0.7072366650271482,0.8728101588209565,1.4841260416389284,1.286256758328489,0.9346764918409064,2.094893138246906,0.2473462934094326,-0.2648984722348037,-0.92410064702104,0.3422044300271235,-0.29300323,-0.2791083976714017,0.125,1.0,22.02414451971513,0.1464745315001387,1.0,2.583333333333333,0.0023116042533518,0.5806451612903226,2.839273461468693e-05,6.0,0.005736137667304,0
0xb45063117874065733c8264ae88c0c55fae839cbbb1fbec449e3f1b9d59f0c4b,8,0xd6f3b706db3b09265c19f88fc705750f14482a7e,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,2024-10-16 08:08:59.000000 UTC,296378,11176205589,2687497,198598,1e+17,587,2,953,3504444,37148296,0.0943366016034759,528,593,594,0.9983164983164984,69,81,578350,6,0xb45063117874065733c8264ae88c0c55fae839cbbb1fbec449e3f1b9d59f0c4b,44,17,15,2817029,527,3758956,150,5,11.0,2.0,1,3,2.728351404941192,1.3026473863355832,1.718556802739056,0.8049367222073032,-0.2831302938785204,-0.2666246104166376,-0.2072024420874638,-1.0460961650767715,-0.2944428857644491,-0.2355043096733445,0.1206412141628962,1.9800740882087609,0.7761561235598767,0.8113960654866371,-0.0970759119114732,-0.4937260848702993,-0.5034858678293874,-0.1201479285748984,1.2551295840492156,-0.0129924925083685,-0.6102433293837323,0.0087617518229804,0.1550760414540076,-0.5640811517615295,-0.7403941681010783,0.2647780792605895,0.089853495,-0.2785898318940929,0.5333333333333333,1.0,13.187047772671136,0.9322915904598004,0.8414634146341463,3.96,0.0010253289092609,0.074074074074074,1.1844419458701418e-06,2.588235294117647,0.0321969696969696,0
0x8b4ce4861fa5985f0b1ab1bebc1857fce3267e11f8b01a14b0ea276b859c1c23,3,0x69f4ab4d8340f041042fcd219521517b2e01abe3,0xf3de3c0d654fda23dad170f0f320a92172509127,2024-10-17 08:24:35.000000 UTC,349459,24056355114,15861862,220755,0.0,79,2,504,1423241,2925476,0.486498949230826,350,90,90,1.0,13,24,170852,150,0x8b4ce4861fa5985f0b1ab1bebc1857fce3267e11f8b01a14b0ea276b859c1c23,7,5,21,274660,367,2622128,20,9,12.0,3.0,1,6,0.0477153222715201,0.1098784417772625,-0.3154433520524873,0.2110475321266832,-0.2840907655011294,-0.2670455349014267,-0.4067027473881409,0.5763872239527307,-0.2947833400536392,-0.4257083557145434,0.3659300264222583,-0.2914909824232461,0.2449153004665848,0.2635182449793909,-0.0981949665105111,-0.6333642019380833,-0.6503412046716015,0.8728101588209565,1.4841260416389284,0.6366321329100602,-0.6102433293837323,1.2604405836773358,0.3406759976496162,0.1660171897032312,1.9133924099345316,0.3902469342254175,-0.29300323,-0.2790610866613073,0.1428571428571428,0.9510869565217392,10.651263380179133,0.5427806946187621,0.52,4.5,0.0005267686256606,0.0777777777777777,2.392773005145145e-06,1.4,0.0142857142857142,0
0x44c7879ef62d428958d32cae5d05c434a19d8f423ab75cf86cd605d419bcc1dd,9,0xf731a847e45e2cba6762bc896b2e12056adab0b6,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,2024-10-17 21:22:59.000000 UTC,542785,13261679552,6535887,399238,0.0,17,2,317,3515362,37262422,0.0943406738295218,529,22,22,1.0,8,13,96750,99,0x44c7879ef62d428958d32cae5d05c434a19d8f423ab75cf86cd605d419bcc1dd,10,7,35,2823184,528,3770068,5,10,14.0,4.0,4,7,3.2644786214751265,1.308904657412305,1.7253397709943237,0.8082731783313516,-0.2842206105713827,-0.2671023263001681,-0.4245152746471299,0.0017576903381153,-0.2947557356518129,-0.3940076813743436,0.9382705883607696,1.985573479921663,0.7794763787042097,0.8167513332505174,-0.0983240881950155,-0.6603119087406382,-0.6770463030295855,1.1210496806699202,1.942118956818354,1.286256758328489,4.024516134290184,1.6776668609621208,1.0166485138319077,-0.4458681544202395,0.0348087148497478,1.4009459296077975,-0.29300323,-0.2791186020069122,0.2571428571428571,1.0,13.198722435377928,0.9324396980532718,0.5714285714285714,4.4,0.0002273878306167,0.4545454545454545,2.6836688178777e-07,1.4285714285714286,0.0132325141776937,0
0x03e1a1a91424dbabde05c1d221b6b50e61b1dfb406fbbb5d51e9a5d99bd7e52c,8,0xd04dec3b46c0c57a12bb8c3ca06d5341f2d27618,0xf3de3c0d654fda23dad170f0f320a92172509127,2024-10-17 04:16:47.000000 UTC,396310,10190020699,2781628,280654,0.0,82,2,563,1422110,2922098,0.4866743004512511,350,91,92,0.9891304347826086,16,28,197817,135,0x03e1a1a91424dbabde05c1d221b6b50e61b1dfb406fbbb5d51e9a5d99bd7e52c,48,16,27,274364,367,2620894,19,10,7.0,4.0,2,5,2.728351404941192,0.1092302485561805,-0.3156441202101928,0.2110475321266832,-0.2840888560148022,-0.2670438645661696,-0.3960152310327475,0.4073785375954909,-0.2944060798953475,-0.2513546468434444,0.6112188386816203,-0.2917554535762955,0.2449153004665848,0.2629235365182112,-0.0982035746228114,-0.6235650358280634,-0.6406234780620224,1.1210496806699202,0.3391437536903645,1.286256758328489,0.9346764918409064,0.8432143063925506,0.5044924959770866,-0.6199820519156065,-0.7214328303533333,0.729438112793736,-0.29300323,-0.2790583036607135,0.2962962962962963,0.9510869565217392,10.650442477876108,0.5426047209064079,0.5517241379310345,4.842105263157895,0.0004600188051643,0.5217391304347826,1.6426553797990347e-05,3.0,0.0457142857142857,0
0xc18c3090ba7242068ec04fe515a0eeb6cea13bf61de63eebab7454e2f76a1d74,3,0x51cdf73cedfa23ab63dd8ec05fc05819b2a11c19,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,2024-10-17 11:51:59.000000 UTC,275282,64127785748,6211219,187320,0.0,11,2,454,3512567,37233298,0.0943394001788399,529,12,14,0.8571428571428571,5,9,63696,85,0xc18c3090ba7242068ec04fe515a0eeb6cea13bf61de63eebab7454e2f76a1d74,7,5,16,2821632,528,3767229,6,6,10.0,2.0,2,5,0.0477153222715201,1.3073028006015857,1.723608814266966,0.8082731783313516,-0.2842397054346553,-0.2671090076411965,-0.4352027910025233,-0.1559837502619751,-0.2947833400536392,-0.4257083557145434,0.1615226828727899,1.984186793335404,0.7794763787042097,0.8153831182413691,-0.0983154800827152,-0.6701110748506581,-0.6889584015036456,0.1280915932740653,1.0261331264595028,-0.0129924925083685,0.9346764918409064,0.8432143063925506,0.0813129873310152,2.437425995107112,-0.0305909898584232,0.2009139394269779,-0.29300323,-0.2791241680080998,0.1875,1.0,13.195660525539829,0.9324004640014016,0.5,2.333333333333333,0.0001883919179867,0.5,1.880037594306043e-07,1.4,0.0094517958412098,0
0x6fc9c94034d9052438dc8469781a9c74b1b5bcb8e2b3bbdd69f0377f8ad70c20,3,0xd41abbd7bbf3dc22e8542bb7ad262822bf4a8001,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,2024-10-17 14:30:11.000000 UTC,228344,27130241423,9417357,165073,0.0,46,2,376,3513343,37240817,0.0943411902053598,529,48,48,1.0,8,30,214655,93,0x6fc9c94034d9052438dc8469781a9c74b1b5bcb8e2b3bbdd69f0377f8ad70c20,39,8,17,2822101,528,3768015,7,6,11.0,2.0,2,5,0.0477153222715201,1.3077475379486765,1.7240556987482532,0.8082731783313516,-0.2841709639268741,-0.2670806119418258,-0.4245152746471299,-0.0658457842047805,-0.2944888931008262,-0.3781573442042437,0.2024041515826836,1.9846058371556077,0.7794763787042097,0.815761919578879,-0.0983068719704149,-0.6186654527730534,-0.6345553497233576,0.1280915932740653,1.2551295840492156,-0.0129924925083685,0.9346764918409064,0.8432143063925506,-0.0828077101673264,0.3402573483051272,0.6152394537136149,0.0749354397924367,-0.29300323,-0.279091699667839,0.1764705882352941,1.0,13.19613188897208,0.9324119112020756,0.2580645161290322,6.857142857142857,0.0002236135957066,0.8125,1.047238034546879e-06,4.875,0.0151228733459357,0
0x1cee13fb783d312f31e98951c3d408d46a01ec1460a2e98c857b2be158b76067,3,0x6a05d33cae0048ba59393cf4332166681210fec0,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,2024-10-17 10:43:59.000000 UTC,237703,16067586535,8994081,160086,0.0,936,2,471,3512234,37229716,0.0943395324315662,529,931,950,0.98,23,22,158466,78,0x1cee13fb783d312f31e98951c3d408d46a01ec1460a2e98c857b2be158b76067,716,23,17,2821386,528,3766890,144,6,11.0,2.0,2,5,0.0477153222715201,1.3071119532606303,1.723395921566877,0.8082731783313516,-0.2824848874999083,-0.2663272907408738,-0.3710776928701629,-0.2348544705620203,-0.2882594997553765,-0.140402286652745,0.2024041515826836,1.983966996363613,0.7794763787042097,0.815219742091985,-0.0971275605852749,-0.6382637849930933,-0.6548049080569621,0.1280915932740653,1.2551295840492156,-0.0129924925083685,0.9346764918409064,0.8432143063925506,-0.0500835717744042,-0.2868181348054485,0.5299765839203003,0.0466954623717752,-0.29300323,-0.2782660761583491,0.1764705882352941,1.0,13.195541482094262,0.9323959732309748,1.0,6.597222222222222,0.0058750402291959,0.7536842105263157,1.92319490162106e-05,31.130434782608692,0.0434782608695652,0
0x4b36660679ef1d9e1b9ccd8c4460a7cb33cb984ea221cc01e88cfc4025fda50a,1,0x19d60778a32c794a487e5fe3a2891564d0fbe1a7,0x0c2e08e459fc43ddd1e2718c122f566473f59665,2024-10-17 13:54:11.000000 UTC,54572,19126477635,3812297,53776,0.0,5,2,402,9846,12703,0.7750924978351571,30,8,8,1.0,2,10,70593,161,0x4b36660679ef1d9e1b9ccd8c4460a7cb33cb984ea221cc01e88cfc4025fda50a,1,1,1,8286,29,205341,4,2,0.0,0.0,1,0,-1.0245391107963486,-0.7001596287012095,-0.4885611936819214,-0.8566184275688133,-0.2842473433799643,-0.2671140186469678,-0.4458903073579167,0.7003269272813732,-0.2948385488572916,-0.489109704394943,-0.4516993477756151,-0.5294917895934603,-0.877330938317994,-0.9012173123698702,-0.0983326963073158,-0.6676612833231531,-0.6864728402046926,-0.8648664941217896,-1.2638314494376246,-1.312241743345226,-0.6102433293837323,-1.242917080031375,-0.6904088402896543,-0.1134279645673963,-0.5138193659778295,-0.555308146930516,-0.29300323,-0.2791297340092874,1.0,1.0,1.5330678252474053,0.0479492748682685,0.1818181818181818,2.0,0.0001133240785335,0.125,7.872156183578682e-05,1.0,0.0333333333333333,0
0xb447f2b029795476feab8c5f04d983e3d4ada5e1d84d8f5eb33c688f9d748f8e,3,0x2176181f8ba9876f013a209ea335e9ca8a546aac,0xf3de3c0d654fda23dad170f0f320a92172509127,2024-10-16 08:39:11.000000 UTC,288704,12628080816,9463915,142995,0.0,43,2,905,1417202,2909017,0.4871755648041933,349,46,46,1.0,8,8,56398,30,0xb447f2b029795476feab8c5f04d983e3d4ada5e1d84d8f5eb33c688f9d748f8e,28,5,14,273494,366,2615040,16,7,7.0,3.0,2,5,0.0477153222715201,0.1064173994588593,-0.3164215767735277,0.2077110760026348,-0.2841747828995286,-0.2670822822770829,-0.4245152746471299,-0.7756822669051877,-0.2945901092408556,-0.4257083557145434,0.0797597454530025,-0.2925327843301908,0.2415950453222518,0.2601022858441872,-0.0982293989597123,-0.672560866378163,-0.6915884763709443,0.376331115123029,0.3391437536903645,0.6366321329100602,0.9346764918409064,0.8432143063925506,0.1282435766578451,-0.4817830625049552,0.6246178940027811,-0.0500860604067541,-0.29300323,-0.2790944826684328,0.2142857142857142,0.9509536784741144,10.63649293951604,0.5419425546291626,0.8888888888888888,2.875,0.000815617298179,0.6086956521739131,9.625244541369129e-06,5.6,0.0143266475644699,0
0xd3e700d3c46c692fb9d8b059c343c33633cdb1c4c9125140f62df36ba21ad7da,3,0x1cdc998438b00809867c7f76ca3bf2fcd893e25d,0x80a64c6d7f12c47b7c66c5b4e20e72bc1fcd5d9e,2024-10-16 09:06:35.000000 UTC,298747,15457975117,11980295,147988,0.0,1071,2,872,1716397,5331205,0.3219529168358748,366,1102,1102,1.0,115,286,2045363,2,0xd3e700d3c46c692fb9d8b059c343c33633cdb1c4c9125140f62df36ba21ad7da,717,104,14,139190,366,2614594,215,6,7.0,4.0,2,5,0.0477153222715201,0.2778905831738197,-0.172461179385638,0.264430830111458,-0.2821583653379478,-0.2662003452613343,-0.0433271913047649,-1.0911651481053688,-0.288250298288101,1.1434750241253475,0.0797597454530025,-0.4125312091246093,0.2415950453222518,0.2598873425916053,-0.0965163846119542,0.0084811782682222,0.0252006245384453,0.1280915932740653,0.3391437536903645,1.286256758328489,0.9346764918409064,0.8432143063925506,0.1633593499114104,-0.3213733458576107,1.1315064969249902,-0.0218121066747784,-0.29300323,-0.2781408411316288,0.2142857142857142,0.997275204359673,38.3016380487104,0.6564676364790722,0.4006968641114982,5.125581395348838,0.0005387794055239,0.6506352087114338,0.0001344911703826,6.894230769230769,0.2841530054644808,0
0x280570d5a9e6223f2269649492fd949b7aada39f7067d6e9183512fa0427c814,1,0x62d63efdfdc7804666725f4cc8cb45c1a41a0809,0x0c2e08e459fc43ddd1e2718c122f566473f59665,2024-10-17 02:51:11.000000 UTC,80989,14952275176,10866261,49000,0.0,97005,0,613,9784,12637,0.7742343910738309,30,101272,101272,1.0,908,1001,6940440,95,0x280570d5a9e6223f2269649492fd949b7aada39f7067d6e9183512fa0427c814,99,25,1,8254,29,202039,1329,2,0.0,0.0,1,0,-1.0245391107963486,-0.7001951618397657,-0.4885651163279867,-0.8566184275688133,-0.0908851199368549,-0.1825416039094992,2.7817396319708934,-0.0433112926904819,-0.2939368050643018,-0.1087016123125452,-0.4516993477756151,-0.5295203810694656,-0.877330938317994,-0.902808663535847,-0.0869269475094295,1.7600821204342851,1.789302980141602,-0.8648664941217896,-1.2638314494376246,-1.312241743345226,-0.6102433293837323,-1.242917080031375,-0.5980406851527995,-0.3500384391848504,0.9071003508469572,-0.5823532907366278,-0.29300323,-0.1891460481435401,1.0,1.0,1.5310152653259026,0.0484260542466838,0.906187624750499,76.20165537998496,0.0145915799874964,0.0009775653685125,0.007834137849173,3.96,0.8333333333333334,0
0xf72cbb4e9c7eff4123a5e1f2842c421684cdf66ef3d92db13d10596a5c5e6d23,1,0xeded52cf395187d17a81ba37272d3f7a5ab1f35e,0x0c2e08e459fc43ddd1e2718c122f566473f59665,2024-10-17 15:32:23.000000 UTC,71250,20706278789,6113011,66088,0.0,18,2,354,9871,12729,0.7754733286196873,30,23,23,1.0,6,250,1791808,187,0xf72cbb4e9c7eff4123a5e1f2842c421684cdf66ef3d92db13d10596a5c5e6d23,1,1,1,8300,29,205828,7,2,0.0,0.0,1,0,-1.0245391107963486,-0.7001453008227595,-0.4885596483971078,-0.8566184275688133,-0.2842187010850555,-0.2671014911325395,-0.4316402855507255,0.9932753169672556,-0.2948385488572916,-0.489109704394943,-0.4516993477756151,-0.529479280822708,-0.877330938317994,-0.9009826097599882,-0.0983068719704149,-0.0797113167219571,-0.0661762777605294,-0.8648664941217896,-1.2638314494376246,-1.312241743345226,-0.6102433293837323,-1.242917080031375,-0.6320935095794122,-0.0238785226031723,-0.050373580689611,-0.4855887561137554,-0.29300323,-0.2791176743400477,1.0,1.0,1.533614457831325,0.0479572849306949,0.0239043824701195,3.2857142857142856,1.2836189571544737e-05,0.0434782608695652,7.85607667530835e-05,1.0,0.0333333333333333,0
0xd9ebc807356c3aee7bd66ec548e653da7431ca35b11398c1489bdac4412359f2,1,0x926e57320fd0aadebfee775e95f712e330553ee0,0x0c2e08e459fc43ddd1e2718c122f566473f59665,2024-10-17 02:07:47.000000 UTC,100000,10704274036,3069540,47188,0.0,9,0,644,9778,12631,0.7741271474942601,30,13,13,1.0,6,155,1108751,89,0xd9ebc807356c3aee7bd66ec548e653da7431ca35b11398c1489bdac4412359f2,1,1,1,8252,29,201825,9,2,0.0,0.0,1,0,-1.0245391107963486,-0.7001986005305938,-0.4885654729321744,-0.8566184275688133,-0.284237795948328,-0.267109842808825,-0.4316402855507255,-0.1109147672333778,-0.2948385488572916,-0.489109704394943,-0.4516993477756151,-0.529522168036716,-0.877330938317994,-0.9029117977422428,-0.0982896557458143,-0.3124415118349306,-0.3123383836295944,-0.8648664941217896,-1.2638314494376246,-1.312241743345226,-0.6102433293837323,-1.242917080031375,-0.5315679215041359,-0.5908321179255025,-0.6634370938411456,-0.5926141367535195,-0.29300323,-0.279126023341829,1.0,1.0,1.5306592341250609,0.0484476727478124,0.0384615384615384,1.4444444444444444,1.1724894295568353e-05,0.0769230769230769,7.917029530520149e-05,1.0,0.0333333333333333,0
0x706619df5e0ef8543b42d03e0403fa2c248687f0eb2428a1842044787db1ba72,3,0xf9b4d1881c7df2e57eefa299f669bf6da11ee357,0xf3de3c0d654fda23dad170f0f320a92172509127,2024-10-18 13:15:47.000000 UTC,364619,20364816673,2368221,279769,0.0,13,2,78,1431232,2960458,0.4834495203107087,351,19,19,1.0,5,29,206603,271,0x706619df5e0ef8543b42d03e0403fa2c248687f0eb2428a1842044787db1ba72,10,5,28,277644,368,2630741,4,12,7.0,4.0,1,5,0.0477153222715201,0.1144582048450485,-0.3133642307698193,0.2143839882507316,-0.2842263390303645,-0.2671048318030538,-0.4352027910025233,1.9397239605677985,-0.2947557356518129,-0.4257083557145434,0.652100307391514,-0.288824827285748,0.2482355556109179,0.2676691558190509,-0.0983326963073158,-0.6211152443005584,-0.6374571533451018,1.6175287243678478,0.3391437536903645,1.286256758328489,-0.6102433293837323,0.8432143063925506,0.3936835773094836,-0.0432339597493608,-0.8047077318659275,0.7244266068748899,-0.29300323,-0.2791223126743706,0.1071428571428571,0.951219512195122,10.662783996772848,0.5440411868590687,0.1666666666666666,4.75,9.196336953785988e-05,0.5263157894736842,3.377855723675188e-06,2.0,0.0142450142450142,0
0x519ee14925e8564eeb1c6b644ad84e2f06683554b12582a69af5c75efa73d5cc,2,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,2024-10-18 02:09:35.000000 UTC,329861,14411021493,230903,230903,95.0,3677697,2,231,221222,441315,0.5012791316859839,74,1782863,3678124,0.484720743509463,598,597,4256343,54,0x519ee14925e8564eeb1c6b644ad84e2f06683554b12582a69af5c75efa73d5cc,441303,74,17,5,73,522433,19,8,4.0,3.0,3,5,-0.4884118942624142,-0.5790168432905795,-0.4630870546616562,-0.7098143581106826,3.120089902597529,2.8047293986041675,1.6773629419135745,-0.505268368733604,3.7657873627138287,0.6679649090223504,0.2024041515826836,-0.5368907274934677,-0.7312397119673388,-0.7483994068817194,-0.0982035746228114,0.7703663433222719,0.8220001490794213,0.6245706369719928,-0.3478456190787737,0.6366321329100602,2.479596313065545,0.8432143063925506,0.2721507637331199,-0.3807188606739785,-1.2352397401558082,0.4477122020948527,-0.29300323,3.1325432725780518,0.1176470588235294,1.0,88263.0,0.423444875333535,1.0,193585.47368421053,0.4188719238858513,0.1199804574288414,0.999972808538119,5963.554054054054,1.0,0
